player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,if_end_game,if_end_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count,quality
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,1,1,00:00:00,0,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,86.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,1,2,00:00:41,15,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,92.0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,1,3,00:01:09,30,0,1,1,0,1,0,0,1.0,0.0,0,0,0,0,1,102.0,0,4,0,1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,1,4,00:01:29,40,0,1,1,0,1,1,0,0.0,0.0,1,0,0,0,1,120.0,0,2,0,1,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.0
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,2,5,00:02:42,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,112.0,0,2,1,2,1.875,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.875,0.0
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,2,6,00:03:10,0,15,0,0,1,0,0,0,0.0,0.0,0,0,0,0,3,123.0,0,3,1,1,0.9375,1.0,0.5,0.0,0.5,0.0,0.0,0.0,1.9375,0.5
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,2,7,00:03:49,0,30,0,0,1,0,0,0,1.0,0.0,0,0,0,0,3,123.0,0,4,0,0,0.46875,1.5,0.25,0.0,0.25,0.0,0.0,0.0,3.96875,0.0
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,2,8,00:04:13,0,40,0,0,1,0,0,0,0.0,0.0,0,0,0,0,3,104.0,0,4,1,1,0.234375,1.75,0.125,0.0,0.125,0.0,0.0,0.0,4.984375,1.0
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,3,9,00:04:57,0,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,100.0,0,1,1,0,0.1171875,1.875,0.0625,0.0,0.0625,0.0,0.0,0.0,5.4921875,1.0
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,3,10,00:05:29,15,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,114.0,0,3,1,1,1.05859375,0.9375,0.03125,0.0,0.03125,0.0,0.0,0.0,3.74609375,1.0
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,3,11,00:05:59,30,0,1,1,0,1,0,0,1.0,0.0,0,0,0,0,3,95.0,0,1,1,0,1.529296875,0.46875,0.015625,0.0,0.015625,0.0,0.0,0.0,2.873046875,1.0
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,3,12,00:06:30,40,0,1,1,0,1,1,0,0.0,0.0,1,0,0,0,7,117.0,1,4,1,0,1.7646484375,0.234375,0.0078125,0.0,0.0078125,0.0,0.0,0.0,4.4365234375,1.0
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,4,13,00:08:24,0,0,1,1,0,0,0,0,0.0,0.0,0,0,0,0,2,108.0,0,2,1,0,1.88232421875,0.1171875,1.00390625,0.0,1.00390625,0.0,0.0,0.0,9.21826171875,1.0
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,4,14,00:08:53,15,0,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,127.0,0,3,1,2,1.941162109375,0.05859375,0.501953125,0.0,0.501953125,0.0,0.0,0.0,6.609130859375,1.0
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,4,15,00:09:31,30,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,5,128.0,0,1,1,0,1.9705810546875,0.029296875,0.2509765625,0.0,0.2509765625,0.0,0.0,0.0,3.3045654296875,0.0
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,4,16,00:10:03,30,15,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,122.0,0,4,0,0,0.98529052734375,1.0146484375,0.12548828125,0.0,0.12548828125,0.0,0.0,0.0,6.65228271484375,0.0
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,4,17,00:10:25,30,30,1,1,0,0,0,0,0.0,0.0,0,0,0,0,6,112.0,0,4,0,1,0.492645263671875,1.50732421875,0.062744140625,0.0,0.062744140625,0.0,0.0,0.0,4.326141357421875,1.0
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,4,18,00:11:15,40,30,0,0,1,0,0,0,0.0,0.0,1,1,1,0,11,127.0,0,3,1,0,1.2463226318359375,0.753662109375,0.0313720703125,0.0,0.0313720703125,0.0,0.0,0.0,8.163070678710938,0.0
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,4,19,00:12:03,40,40,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,125.0,0,2,1,0,0.6231613159179688,1.3768310546875,0.01568603515625,0.0,1.01568603515625,1.0,1.0,0.0,15.081535339355469,0.0
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,4,20,00:12:30,40,AD,1,1,0,0,0,0,0.0,0.0,0,0,0,0,4,121.0,0,1,1,1,0.3115806579589844,1.68841552734375,0.007843017578125,0.0,0.507843017578125,0.5,0.5,0.0,8.540767669677734,1.0
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,4,21,00:13:31,40,40,0,0,1,0,0,0,1.0,0.0,0,0,0,0,1,126.0,0,3,1,2,1.1557903289794922,0.844207763671875,0.0039215087890625,0.0,0.2539215087890625,0.25,0.25,0.0,8.270383834838867,1.0
