player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count
Alexander Bublik,2023-wimbledon-1314,1,1,1,00:00:00,0,0,1,1,0,0,0,0,0,0,0,0,4,129.0,0,BC,NCTL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Bublik,2023-wimbledon-1314,1,1,2,00:00:25,15,0,0,0,1,0,0,0,0,0,0,0,3,125.0,0,W,CTL,ND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Alexander Bublik,2023-wimbledon-1314,1,1,3,00:00:49,15,15,0,0,1,0,0,0,0,0,0,0,5,108.0,0,BC,NCTL,ND,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6
Alexander Bublik,2023-wimbledon-1314,1,1,4,00:01:28,15,30,0,0,1,0,0,0,0,0,0,0,3,103.0,0,BC,CTL,ND,0.81,1.9,0.0,0.0,0.0,0.0,0.0,0.0,10.940000000000001
Alexander Bublik,2023-wimbledon-1314,1,1,5,00:02:03,15,40,0,0,1,0,0,0,0,0,0,0,1,121.0,0,BC,NCTL,D,0.7290000000000001,2.71,0.0,0.0,0.0,0.0,0.0,0.0,12.846
Alexander Bublik,2023-wimbledon-1314,1,2,6,00:03:30,0,0,0,0,1,1,0,0,0,0,0,0,0,99.0,0,B,CTL,,0.6561,3.439,0.0,0.0,0.0,0.0,0.0,0.0,12.561400000000003
Alexander Bublik,2023-wimbledon-1314,1,2,7,00:03:57,0,15,1,1,0,1,0,0,0,0,0,0,1,134.0,0,C,NCTL,D,0.5904900000000001,4.0951,0.0,0.0,0.0,0.0,0.0,0.0,11.305260000000002
Alexander Bublik,2023-wimbledon-1314,1,2,8,00:04:15,15,15,1,1,0,1,0,0,0,0,0,0,1,114.0,0,BC,CTL,ND,1.531441,3.68559,0.0,0.0,0.0,0.0,0.0,0.0,11.174734000000003
Alexander Bublik,2023-wimbledon-1314,1,2,9,00:04:41,30,15,1,1,0,1,0,0,0,0,0,0,1,115.0,0,BC,NCTL,D,2.3782969,3.317031,0.0,0.0,0.0,0.0,0.0,0.0,11.057260600000001
Alexander Bublik,2023-wimbledon-1314,1,2,10,00:05:20,40,15,1,1,0,1,1,0,1,0,0,0,1,128.0,0,C,NCTL,,3.14046721,2.9853279,0.0,0.0,0.0,0.0,0.0,0.0,10.95153454
Alexander Bublik,2023-wimbledon-1314,1,3,11,00:05:51,0,0,0,0,1,0,0,0,0,0,0,0,3,111.0,0,BC,NCTL,ND,3.826420489,2.6867951100000003,1.0,0.0,1.0,0.0,0.0,0.0,10.856381086000003
Alexander Bublik,2023-wimbledon-1314,1,3,12,00:06:22,0,15,1,1,0,0,0,0,0,0,0,0,4,108.0,0,B,NCTL,ND,3.4437784401,3.418115599,0.9,0.0,0.9,0.0,0.0,0.0,12.770742977400003
Alexander Bublik,2023-wimbledon-1314,1,3,13,00:07:01,15,15,1,1,0,0,0,0,0,0,0,0,2,102.0,0,BC,NCTL,ND,4.09940059609,3.0763040391000005,0.81,0.0,0.81,0.0,0.0,0.0,15.49366867966
Alexander Bublik,2023-wimbledon-1314,1,3,14,00:07:39,30,15,0,0,1,0,0,0,0,0,0,0,1,122.0,0,W,CTL,D,4.6894605364810005,2.7686736351900008,0.7290000000000001,0.0,0.7290000000000001,0.0,0.0,0.0,15.944301811694002
Alexander Bublik,2023-wimbledon-1314,1,3,15,00:08:00,30,30,1,1,0,0,0,0,0,0,0,0,2,107.0,0,B,NCTL,ND,4.2205144828329,3.4918062716710008,0.6561,0.0,0.6561,0.0,0.0,0.0,15.349871630524603
Alexander Bublik,2023-wimbledon-1314,1,3,16,00:08:35,40,30,1,1,0,0,1,0,1,1,0,0,4,126.0,0,C,CTL,ND,4.798463034549611,3.1426256445039003,0.5904900000000001,0.0,0.5904900000000001,0.0,0.0,0.0,15.814884467472142
Alexander Bublik,2023-wimbledon-1314,1,4,17,00:10:11,0,0,0,0,1,1,0,0,0,0,0,0,4,101.0,0,BW,NCTL,D,5.31861673109465,2.828363080053511,1.531441,0.0,1.531441,1.0,0.0,0.0,18.233396020724925
Alexander Bublik,2023-wimbledon-1314,1,4,18,00:10:46,0,15,1,1,0,1,0,0,0,0,0,0,1,133.0,0,BW,NCTL,ND,4.786755057985184,3.5455267720481594,1.3782969,0.0,1.3782969,0.9,0.0,0.0,20.410056418652438
Alexander Bublik,2023-wimbledon-1314,1,4,19,00:11:07,15,15,1,1,0,1,0,0,0,0,0,0,3,127.0,0,BW,CTL,ND,5.308079552186666,3.1909740948433436,1.2404672100000003,0.0,1.2404672100000003,0.81,0.0,0.0,19.369050776787194
Alexander Bublik,2023-wimbledon-1314,1,4,20,00:11:32,30,15,0,0,1,1,0,0,0,0,0,0,2,124.0,0,C,NCTL,ND,5.777271596968,2.8718766853590094,1.1164204890000002,0.0,1.1164204890000002,0.7290000000000001,0.0,0.0,20.432145699108474
Alexander Bublik,2023-wimbledon-1314,1,4,21,00:11:59,30,30,1,1,0,1,0,0,0,0,0,0,3,123.0,0,W,CTL,D,5.1995444372712,3.5846890168231083,1.0047784401000002,0.0,1.0047784401000002,0.6561,0.0,0.0,20.38893112919763
Alexander Bublik,2023-wimbledon-1314,1,4,22,00:12:29,40,30,1,1,0,1,1,0,1,0,0,0,1,85.0,0,C,NCTL,D,5.679589993544081,3.2262201151407974,0.9043005960900001,0.0,0.9043005960900001,0.5904900000000001,0.0,0.0,21.350038016277864
Alexander Bublik,2023-wimbledon-1314,1,5,23,00:13:18,0,0,1,1,0,0,0,0,0,0,0,0,2,128.0,0,C,NCTL,ND,6.111630994189673,2.903598103626718,1.8138705364810002,0.0,1.8138705364810002,0.531441,0.0,0.0,20.21503421465008
Alexander Bublik,2023-wimbledon-1314,1,5,24,00:13:38,15,0,1,1,0,0,0,0,0,0,0,0,4,106.0,0,B,NCTL,ND,6.500467894770705,2.6132382932640463,1.6324834828329,0.0,1.6324834828329,0.4782969000000001,0.0,0.0,20.193530793185072
Alexander Bublik,2023-wimbledon-1314,1,5,25,00:14:19,30,0,0,0,1,0,0,0,0,0,0,0,9,121.0,0,C,NCTL,ND,6.850421105293635,2.351914463937642,1.4692351345496104,0.0,1.4692351345496104,0.4304672100000001,0.0,0.0,22.174177713866566
Alexander Bublik,2023-wimbledon-1314,1,5,26,00:14:55,30,15,0,0,1,0,0,0,0,0,0,0,3,117.0,0,C,NCTL,ND,6.1653789947642705,3.116723017543878,1.3223116210946493,0.0,1.3223116210946493,0.3874204890000001,0.0,0.0,28.95675994247991
Alexander Bublik,2023-wimbledon-1314,1,5,27,00:15:19,30,30,0,0,1,0,0,0,0,0,0,0,1,121.0,0,W,CTL,D,5.548841095287845,3.80505071578949,1.1900804589851843,0.0,1.1900804589851843,0.3486784401000001,0.0,0.0,29.061083948231918
Alexander Bublik,2023-wimbledon-1314,1,5,28,00:15:40,30,40,0,0,1,0,0,0,0,0,0,0,3,122.0,0,W,CTL,ND,4.99395698575906,4.424545644210541,1.0710724130866658,0.0,1.0710724130866658,0.31381059609000006,0.0,0.0,27.15497555340873
Alexander Bublik,2023-wimbledon-1314,1,6,29,00:17:18,0,0,0,0,1,1,0,0,0,0,0,0,0,132.0,0,BC,CTL,,4.494561287183155,4.9820910797894875,0.9639651717779993,0.0,0.9639651717779993,0.2824295364810001,0.0,0.0,27.439477998067854
Alexander Bublik,2023-wimbledon-1314,1,6,30,00:17:43,0,15,0,0,1,1,0,0,0,0,0,0,0,138.0,0,C,CTL,,4.045105158464839,5.483881971810539,0.8675686546001994,0.0,0.8675686546001994,0.2541865828329001,0.0,0.0,24.69553019826107
Alexander Bublik,2023-wimbledon-1314,1,6,31,00:18:14,0,30,1,1,0,1,0,0,0,0,0,0,5,103.0,0,BC,CTL,ND,3.640594642618355,5.935493774629485,0.7808117891401795,0.0,0.7808117891401795,0.2287679245496101,0.0,0.0,22.22597717843496
Alexander Bublik,2023-wimbledon-1314,1,6,32,00:18:55,15,30,0,0,1,1,0,0,0,0,0,0,6,101.0,0,BC,NCTL,ND,4.27653517835652,5.341944397166536,0.7027306102261616,0.0,0.7027306102261616,0.20589113209464907,0.0,0.0,25.003379460591468
Alexander Bublik,2023-wimbledon-1314,1,6,33,00:19:44,15,40,1,1,0,1,0,0,0,0,0,0,1,123.0,0,BW,CTL,,3.8488816605208678,5.807749957449882,0.6324575492035454,0.0,0.6324575492035454,0.18530201888518416,0.0,0.0,28.50304151453232
Alexander Bublik,2023-wimbledon-1314,1,6,34,00:20:16,30,40,1,1,0,1,0,0,0,0,0,0,1,127.0,0,W,CTL,D,4.463993494468781,5.226974961704895,0.5692117942831909,0.0,0.5692117942831909,0.16677181699666577,0.0,0.0,26.65273736307909
Alexander Bublik,2023-wimbledon-1314,1,6,35,00:20:44,40,40,1,1,0,1,0,0,0,0,0,0,1,125.0,0,C,NCTL,,5.017594145021904,4.704277465534405,0.5122906148548718,0.0,0.5122906148548718,0.15009463529699918,0.0,0.0,24.98746362677118
Alexander Bublik,2023-wimbledon-1314,1,6,36,00:21:23,AD,40,1,1,0,1,1,0,1,0,0,0,1,133.0,0,W,CTL,D,5.515834730519713,4.233849718980965,0.46106155336938465,0.0,0.46106155336938465,0.13508517176729928,0.0,0.0,23.48871726409406
Alexander Bublik,2023-wimbledon-1314,1,7,37,00:21:53,0,0,0,0,1,0,0,0,0,0,0,0,3,125.0,0,C,NCTL,D,5.964251257467742,3.810464747082868,1.4149553980324463,0.0,1.4149553980324463,0.12157665459056935,0.0,0.0,22.139845537684653
Alexander Bublik,2023-wimbledon-1314,1,7,38,00:22:16,0,15,0,0,1,0,0,0,0,0,0,0,3,118.0,0,W,CTL,D,5.3678261317209675,4.429418272374582,1.2734598582292016,0.0,1.2734598582292016,0.10941898913151242,0.0,0.0,22.925860983916188
Alexander Bublik,2023-wimbledon-1314,1,7,39,00:22:38,0,30,1,1,0,0,0,0,0,0,0,0,4,100.0,0,B,CTL,D,4.831043518548871,4.986476445137123,1.1461138724062816,0.0,1.1461138724062816,0.09847709021836118,0.0,0.0,23.63327488552457
Alexander Bublik,2023-wimbledon-1314,1,7,40,00:23:21,15,30,0,0,1,0,0,0,0,0,0,0,1,117.0,0,B,NCTL,ND,5.347939166693984,4.4878288006234115,1.0315024851656533,0.0,1.0315024851656533,0.08862938119652507,0.0,0.0,25.269947396972118
Alexander Bublik,2023-wimbledon-1314,1,7,41,00:23:40,15,40,1,1,0,0,0,0,0,0,0,0,4,107.0,0,B,NCTL,ND,4.813145250024586,5.039045920561071,0.928352236649088,0.0,0.928352236649088,0.07976644307687256,0.0,0.0,23.742952657274905
Alexander Bublik,2023-wimbledon-1314,1,7,42,00:24:25,30,40,0,0,1,0,0,0,0,0,0,0,1,124.0,0,W,CTL,,5.331830725022128,4.535141328504963,0.8355170129841794,0.0,0.8355170129841794,0.0717897987691853,0.0,0.0,25.368657391547416
Alexander Bublik,2023-wimbledon-1314,1,8,43,00:26:00,0,0,1,1,0,1,0,0,0,0,0,0,1,122.0,0,W,NCTL,ND,4.798647652519915,5.081627195654467,0.7519653116857613,0.0,0.7519653116857613,0.06461081889226677,0.0,0.0,23.831791652392674
Alexander Bublik,2023-wimbledon-1314,1,8,44,00:26:25,15,0,1,1,0,1,0,0,0,0,0,0,1,126.0,0,,,,5.318782887267924,4.573464476089021,0.6767687805171853,0.0,0.6767687805171853,0.058149737003040096,0.0,0.0,22.448612487153405
