player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,if_end_game,if_end_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count,quality
Alexander Zverev,2023-wimbledon-1302,1,1,1,00:00:00,0,0,1,1,0,0,0,0,0.0,0.0,0,0,0,0,2,108.0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Zverev,2023-wimbledon-1302,1,1,2,00:00:36,15,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,124.0,0,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Alexander Zverev,2023-wimbledon-1302,1,1,3,00:00:58,15,15,0,0,1,0,0,0,0.0,0.0,0,0,0,0,9,104.0,0,2,1,0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Alexander Zverev,2023-wimbledon-1302,1,1,4,00:01:52,15,30,1,1,0,0,0,0,0.0,0.0,0,0,0,0,2,98.0,0,4,1,0,0.25,1.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0
Alexander Zverev,2023-wimbledon-1302,1,1,5,00:02:32,30,30,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,129.0,0,5,2,1,1.125,0.75,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
Alexander Zverev,2023-wimbledon-1302,1,1,6,00:03:12,40,30,0,0,1,0,0,0,0.0,0.0,1,1,1,0,1,125.0,0,3,1,1,1.5625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0
Alexander Zverev,2023-wimbledon-1302,1,1,7,00:03:37,40,40,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,125.0,0,3,1,1,0.78125,1.1875,0.0,0.0,1.0,1.0,1.0,0.0,2.75,0.0
Alexander Zverev,2023-wimbledon-1302,1,1,8,00:04:01,40,AD,1,1,0,0,0,0,0.0,0.0,0,0,0,0,4,106.0,0,0,1,0,0.390625,1.59375,0.0,0.0,0.5,0.5,0.5,0.0,2.375,1.0
Alexander Zverev,2023-wimbledon-1302,1,1,9,00:04:45,40,40,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,117.0,0,4,1,0,1.1953125,0.796875,0.0,0.0,0.25,0.25,0.25,0.0,5.1875,0.0
Alexander Zverev,2023-wimbledon-1302,1,1,10,00:05:08,40,AD,1,1,0,0,0,0,0.0,0.0,0,0,0,0,4,124.0,1,3,1,0,0.59765625,1.3984375,0.0,0.0,0.125,0.125,0.125,0.0,3.59375,1.0
Alexander Zverev,2023-wimbledon-1302,1,1,11,00:05:42,40,40,0,0,1,0,0,0,1.0,0.0,0,0,0,0,1,132.0,0,3,0,2,1.298828125,0.69921875,0.0,0.0,0.0625,0.0625,0.0625,0.0,5.796875,0.0
Alexander Zverev,2023-wimbledon-1302,1,1,12,00:06:07,40,AD,0,0,1,0,0,0,0.0,0.0,0,0,0,0,3,100.0,0,1,1,0,0.6494140625,1.349609375,0.0,0.0,0.03125,0.03125,0.03125,0.0,3.8984375,0.0
Alexander Zverev,2023-wimbledon-1302,1,2,13,00:07:26,0,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,3,137.0,1,3,1,1,0.32470703125,1.6748046875,0.0,0.0,0.015625,0.015625,0.015625,0.0,4.94921875,1.0
Alexander Zverev,2023-wimbledon-1302,1,2,14,00:07:52,15,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,3,97.0,0,4,0,1,1.162353515625,0.83740234375,0.0,0.0,0.0078125,0.0078125,0.0078125,0.0,5.474609375,1.0
Alexander Zverev,2023-wimbledon-1302,1,2,15,00:08:33,30,0,1,1,0,1,0,0,1.0,0.0,0,0,0,0,3,129.0,0,2,1,1,1.5811767578125,0.418701171875,0.0,0.0,0.00390625,0.00390625,0.00390625,0.0,5.7373046875,1.0
Alexander Zverev,2023-wimbledon-1302,1,2,16,00:09:00,40,0,1,1,0,1,1,0,0.0,0.0,1,0,0,0,1,131.0,0,1,0,0,1.79058837890625,0.2093505859375,0.0,0.0,0.001953125,0.001953125,0.001953125,0.0,5.86865234375,0.0
Alexander Zverev,2023-wimbledon-1302,1,3,17,00:09:38,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,114.0,0,4,0,1,1.895294189453125,0.10467529296875,1.0,0.0,1.0009765625,0.0009765625,0.0009765625,0.0,3.934326171875,0.0
Alexander Zverev,2023-wimbledon-1302,1,3,18,00:10:00,0,15,1,1,0,0,0,0,0.0,0.0,0,0,0,0,4,107.0,0,1,1,0,0.9476470947265624,1.052337646484375,0.5,0.0,0.50048828125,0.00048828125,0.00048828125,0.0,2.9671630859375,1.0
Alexander Zverev,2023-wimbledon-1302,1,3,19,00:10:46,15,15,0,0,1,0,0,0,0.0,0.0,0,0,0,0,3,118.0,0,4,1,1,1.4738235473632812,0.5261688232421875,0.25,0.0,0.250244140625,0.000244140625,0.000244140625,0.0,5.48358154296875,1.0
Alexander Zverev,2023-wimbledon-1302,1,3,20,00:11:13,15,30,0,0,1,0,0,0,1.0,0.0,0,0,0,0,1,122.0,0,3,1,0,0.7369117736816406,1.2630844116210938,0.125,0.0,0.1251220703125,0.0001220703125,0.0001220703125,0.0,5.741790771484375,0.0
Alexander Zverev,2023-wimbledon-1302,1,3,21,00:11:40,15,40,0,0,1,0,0,0,0.0,0.0,0,0,0,0,3,106.0,0,1,1,1,0.3684558868408203,1.6315422058105469,0.0625,0.0,0.06256103515625,6.103515625e-05,6.103515625e-05,0.0,3.870895385742188,0.0
