player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,if_end_game,if_end_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count,quality
Christopher Eubanks,2023-wimbledon-1307,1,1,1,00:00:00,0,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,124.0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
Christopher Eubanks,2023-wimbledon-1307,1,1,2,00:00:15,15,0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,4,94.0,0,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Christopher Eubanks,2023-wimbledon-1307,1,1,3,00:00:52,15,15,0,0,1,1,0,0,0.0,0.0,0,0,0,0,0,123.0,0,4,0,2,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0
Christopher Eubanks,2023-wimbledon-1307,1,1,4,00:01:26,15,30,1,1,0,1,0,0,0.0,0.0,0,0,0,0,3,99.0,1,2,1,1,0.25,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.25,1.0
Christopher Eubanks,2023-wimbledon-1307,1,1,5,00:02:12,30,30,1,1,0,1,0,0,1.0,0.0,0,0,0,0,9,110.0,0,4,1,0,1.125,0.75,0.0,0.0,0.0,0.0,0.0,0.0,4.125,1.0
Christopher Eubanks,2023-wimbledon-1307,1,1,6,00:03:04,40,30,1,1,0,1,1,0,0.0,0.0,1,0,0,0,1,104.0,0,2,1,1,1.5625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,11.0625,1.0
Christopher Eubanks,2023-wimbledon-1307,1,2,7,00:04:05,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,3,92.0,0,1,1,0,1.78125,0.1875,1.0,0.0,1.0,0.0,0.0,0.0,6.53125,1.0
Christopher Eubanks,2023-wimbledon-1307,1,2,8,00:04:45,0,15,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,110.0,0,3,1,0,0.890625,1.09375,0.5,0.0,0.5,0.0,0.0,0.0,6.265625,0.0
Christopher Eubanks,2023-wimbledon-1307,1,2,9,00:05:06,0,30,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,100.0,0,0,0,1,0.4453125,1.546875,0.25,0.0,0.25,0.0,0.0,0.0,4.1328125,1.0
Christopher Eubanks,2023-wimbledon-1307,1,2,10,00:05:42,15,30,0,0,1,0,0,0,1.0,0.0,0,0,0,0,1,110.0,0,4,0,0,1.22265625,0.7734375,0.125,0.0,0.125,0.0,0.0,0.0,2.06640625,0.0
Christopher Eubanks,2023-wimbledon-1307,1,2,11,00:06:04,15,40,0,0,1,0,0,0,0.0,0.0,0,0,0,0,11,92.0,1,3,1,0,0.611328125,1.38671875,0.0625,0.0,0.0625,0.0,0.0,0.0,2.033203125,1.0
Christopher Eubanks,2023-wimbledon-1307,1,3,12,00:07:05,0,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,3,119.0,1,4,0,2,0.3056640625,1.693359375,0.03125,0.0,0.03125,0.0,0.0,0.0,12.0166015625,0.0
Christopher Eubanks,2023-wimbledon-1307,1,3,13,00:07:33,15,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,3,122.0,1,3,1,1,1.15283203125,0.8466796875,0.015625,0.0,0.015625,0.0,0.0,0.0,9.00830078125,0.0
Christopher Eubanks,2023-wimbledon-1307,1,3,14,00:08:16,30,0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,4,103.0,1,1,1,1,1.576416015625,0.42333984375,0.0078125,0.0,0.0078125,0.0,0.0,0.0,7.504150390625,0.3333333333333333
Christopher Eubanks,2023-wimbledon-1307,1,3,15,00:09:18,30,15,1,1,0,1,0,0,1.0,0.0,0,0,0,0,1,122.0,0,3,0,1,0.7882080078125,1.211669921875,0.00390625,0.0,0.00390625,0.0,0.0,0.0,7.7520751953125,0.0
Christopher Eubanks,2023-wimbledon-1307,1,3,16,00:09:44,40,15,1,1,0,1,1,0,0.0,0.0,1,0,0,0,1,115.0,0,4,0,2,1.39410400390625,0.6058349609375,0.001953125,0.0,0.001953125,0.0,0.0,0.0,4.87603759765625,1.0
Christopher Eubanks,2023-wimbledon-1307,1,4,17,00:11:24,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,102.0,0,4,1,0,1.697052001953125,0.30291748046875,1.0009765625,0.0,1.0009765625,0.0,0.0,0.0,3.438018798828125,0.0
Christopher Eubanks,2023-wimbledon-1307,1,4,18,00:11:46,0,15,0,0,1,0,0,0,0.0,0.0,0,0,0,0,3,112.0,0,4,0,1,0.8485260009765625,1.151458740234375,0.50048828125,0.0,0.50048828125,0.0,0.0,0.0,2.7190093994140625,0.3333333333333333
Christopher Eubanks,2023-wimbledon-1307,1,4,19,00:12:12,0,30,1,1,0,0,0,0,0.0,0.0,0,0,0,0,4,92.0,0,3,1,0,0.4242630004882812,1.5757293701171875,0.250244140625,0.0,0.250244140625,0.0,0.0,0.0,4.359504699707031,1.0
Christopher Eubanks,2023-wimbledon-1307,1,4,20,02:37:28,15,30,0,0,1,0,0,0,1.0,0.0,0,0,0,0,1,109.0,0,3,0,2,1.2121315002441406,0.7878646850585938,0.1251220703125,0.0,0.1251220703125,0.0,0.0,0.0,6.179752349853516,1.0
Christopher Eubanks,2023-wimbledon-1307,1,4,21,02:37:50,15,40,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,104.0,0,4,0,2,0.6060657501220703,1.3939323425292969,0.06256103515625,0.0,0.06256103515625,0.0,0.0,0.0,4.089876174926758,0.0
Christopher Eubanks,2023-wimbledon-1307,1,5,22,02:38:38,0,0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,2,111.0,1,1,1,1,0.3030328750610351,1.6969661712646484,0.031280517578125,0.0,0.031280517578125,0.0,0.0,0.0,3.044938087463379,0.0
