player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count
Christopher O'Connell,2023-wimbledon-1307,1,1,1,00:00:00,0,0,0,0,1,0,0,0,0,0,0,0,1,124.0,0,C,CTL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christopher O'Connell,2023-wimbledon-1307,1,1,2,00:00:15,15,0,1,1,0,0,0,0,0,0,0,0,4,94.0,0,BW,NCTL,D,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Christopher O'Connell,2023-wimbledon-1307,1,1,3,00:00:52,15,15,1,1,0,0,0,0,0,0,0,0,0,123.0,0,W,CTL,,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,4.9
Christopher O'Connell,2023-wimbledon-1307,1,1,4,00:01:26,15,30,0,0,1,0,0,0,0,0,0,0,3,99.0,0,BW,NCTL,ND,1.9,0.81,0.0,0.0,0.0,0.0,0.0,0.0,4.41
Christopher O'Connell,2023-wimbledon-1307,1,1,5,00:02:12,30,30,0,0,1,0,0,0,0,0,0,0,9,110.0,0,W,NCTL,D,1.71,1.729,0.0,0.0,0.0,0.0,0.0,0.0,6.969
Christopher O'Connell,2023-wimbledon-1307,1,1,6,00:03:04,40,30,0,0,1,0,0,0,0,0,0,0,1,104.0,0,BW,NCTL,ND,1.5390000000000001,2.5561,0.0,0.0,0.0,0.0,0.0,0.0,15.2721
Christopher O'Connell,2023-wimbledon-1307,1,2,7,00:04:05,0,0,1,1,0,1,0,0,0,0,0,0,3,92.0,1,BC,NCTL,D,1.3851,3.30049,0.0,0.0,0.0,0.0,0.0,0.0,14.74489
Christopher O'Connell,2023-wimbledon-1307,1,2,8,00:04:45,0,15,1,1,0,1,0,0,0,0,0,0,1,110.0,0,C,NCTL,D,2.2465900000000003,2.970441,0.0,0.0,0.0,0.0,0.0,0.0,16.270401
Christopher O'Connell,2023-wimbledon-1307,1,2,9,00:05:06,0,30,0,0,1,1,0,0,0,0,0,0,0,100.0,0,B,CTL,ND,3.021931,2.6733969,0.0,0.0,0.0,0.0,0.0,0.0,15.643360900000001
Christopher O'Connell,2023-wimbledon-1307,1,2,10,00:05:42,15,30,1,1,0,1,0,0,0,0,0,0,1,110.0,0,W,CTL,D,2.7197379,3.40605721,0.0,0.0,0.0,0.0,0.0,0.0,14.079024810000002
