Player,if_end_game,if_end_set,if_server,weighted_sum_break_fail,weighted_sum_break_point,weighted_sum_broken,weighted_sum_game_point,weighted_sum_if_score,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_rally_count,Birthdate,Height,Weight,age,height,weight
Alejandro Davidovich Fokina,-0.273232746,0,2.749755978,-0.734454167,0,0,0.259465107,0.113606481,0.177687124,-11.91678403,-0.015381607,4/5/1999,6'0",154 lbs,25,183,70
Alexander Bublik,0,0,3.52711603,-0.59383559,0,0,0,0,0,0,-0.02767511,6/17/1997,6'6",165 lbs,27,196,75
Alexander Zverev,0,0,4.475262724,0,0,0,0,-0.239908625,0,0,-0.009832505,4/20/1997,6'6",198 lbs,27,198,90
Andrey Rublev,0.142258372,0,2.905809002,-1.165379988,-1.909754722,1.009854184,0.123893525,0.002251258,0,0,0.010524788,10/20/1997,6'2",165 lbs,27,188,75
Carlos Alcaraz,0.148556216,-0.265789792,2.490537423,0,0.085540635,0,0.15682952,-0.165788755,0.879545045,-4.500209404,-0.002279038,5/5/2003,6'1",174 lbs,21,183,79
Christopher Eubanks,-0.283718868,0.597384049,3.256957849,0,0,0,0,0.30596917,-1.758647268,0,0.027654913,5/5/1996,6'7",181 lbs,28,201,82
Christopher O'Connell,0,0,3.897877067,0,0,0,-1.266034755,0.300986293,0,0,-0.022769545,6/3/1994,183 cm,78 kg,30,183,78
Daniel Elahi Galan,-0.17012318,0,1.810843149,0,0,0,-0.006716839,0.419879258,-1.494854109,0,-0.010644916,6/18/1996,191 cm,72 kg,28,191,72
Daniil Medvedev,0,-3.443893691,2.697586896,0,-0.634198725,-1.48549337,0.284319177,0.06995007,0.954055459,6.921894277,0.004863955,2/11/1996,198 cm,83 kg,28,198,83
David Goffin,0,0,2.012689489,0,-0.265241828,1.374308752,0,-0.024349392,0,0,-0.009763485,12/7/1990,180 cm,70 kg,34,180,70
Denis Shapovalov,-0.882244077,0,1.808282942,-0.481955269,-0.479001235,-1.566303589,0.527421815,0.123535382,0,0.483135788,-0.001528178,4/15/1999,185 cm,75 kg,25,185,75
Frances Tiafoe,0,8.822169207,3.166522391,0,0,0,0,0,0,0,-8.81E-05,1/20/1998,188 cm,86 kg,26,188,86
Grigor Dimitrov,0.01767427,-1.013223344,3.12481426,1.091708612,0,0,-0.417671625,0.042628139,-0.593390332,0,-0.002880912,5/16/1991,6'3",179 lbs,33,191,81
Guido Pella,0,0,2.485529548,0,0,0,0,0.183661425,0,0,0,5/17/1990,6',165 lbs,34,183,75
Holger Rune,0.13825789,0.31086884,3.222529101,0,0,0,0.36878736,0,0,0,0.010639265,4/29/2003,6'2",170 lbs,21,188,77
Hubert Hurkacz,-0.719376789,0,3.916862402,0,3.548695401,0,0,0.404271203,-0.010503381,0,-0.010702598,2/11/1997,6'5",179 lbs,27,196,81
Jannik Sinner,-0.286301891,0,3.124365663,-2.002988611,0,0,1.11964057,0,0.066261162,-2.031364602,-0.001238522,8/16/2001,6'2",167 lbs,23,188,76
Jiri Lehecka,0,-0.141998072,3.163798119,2.638329444,0,0,0.163332313,0.378649135,0,0.637792395,-0.002486409,11/8/2001,185.5 cm,81 kg (178.5 lbs),23,185.5,81
Laslo Djere,0,0,3.66598577,0,0.43624104,0,0,0.353878869,-0.273597384,0,-0.011393778,6/2/1995,188 cm,75 kg (165.5 lbs),29,188,75
Liam Broady,0.651991267,0,1.106187894,0,0.207894964,0,0,-0.22560144,-0.166173197,0,-0.001762206,1/4/1994,183 cm,78 kg or 172 lbs,30,183,78
Lorenzo Musetti,0,0,3.197734007,0,0,0,0,0,0.9514093,0,0.021803676,3/3/2002,185.5cm,78 kg (172 lbs),22,185.5,78
Marton Fucsovics,-0.304937568,4.20806381,2.510589227,-0.386698405,-1.94339667,-0.829958724,0,0,0,0,-0.003743305,2/8/1992,188cm,82 kg (180.5 lbs),32,188,82
Matteo Berrettini,0,0,3.513800391,0,0,0,0,0.035189626,-0.332059629,0,0.014717998,4/12/1996,195.5cm,95 kg (209.5 lbs),28,195.5,95
Maximilian Marterer,-1.483216869,0,2.908624831,0,0,0,0,-0.328270512,0,0,0.064081957,6/15/1995,1.88米,82千克,29,188,82
Mikael Ymer,0,0,1.053742281,0,0,0,-0.680753705,0.360131598,-0.192995762,0,0,9/9/1998,1.83米,75千克,26,183,75
Nicolas Jarry,0.576749692,0,2.300884177,-3.937450111,0,-1.128886962,-0.893543773,-0.66822652,0,0,-0.019775618,10/11/1995,198cm,90kg,29,198,90
Novak Djokovic,0.46278383,1.552485856,3.055539482,0,0,0,0,0.033130191,0.941274513,-4.063163359,-0.00269042,5/22/1987,1.88米,77千克,37,188,77
Quentin Halys,1.127357225,0,2.678845743,0,0,0,0,-0.26295391,-0.809308796,0,-0.010560858,10/26/1996,1.88米,75千克,28,188,75
Roman Safiullin,0.047692705,0,2.681548846,3.587739799,1.356798298,-6.043548428,0.265466639,0.704732103,0,0,-0.003336918,8/7/1997,1.85米,75千克,27,185,75
Stan Wawrinka,0.795188778,-6.53431501,3.323255415,0,0,0,0,-0.092120009,-0.844579717,0,-0.004357598,1985年3月28,183cm,81kg,39,183,81
Stefanos Tsitsipas,0.134912545,0,3.495601424,0,0,0,0,0.179804573,0,0,-0.015196142,8/12/1998,193 cm,90kg,26,193,90
Tommy Paul,0.027855707,3.405728388,3.600955499,-1.609460766,-6.604238998,0,1.045156861,0,0,0,0.004048904,5/17/1997,185 cm,82 kg,27,185,82
