player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count
Daniel Elahi Galan,2023-wimbledon-1310,1,1,1,00:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,113.0,0,BW,NCTL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,1,2,00:00:35,0,15,1,1,0,0,0,0,0,0,0,0,0,117.0,0,B,CTL,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,1,3,00:01:00,15,15,0,0,1,0,0,0,0,0,0,0,0,128.0,1,BW,NCTL,ND,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,1,4,00:01:37,15,30,1,1,0,0,0,0,0,0,0,0,0,128.0,0,BW,NCTL,ND,0.9,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,1,5,00:02:05,30,30,1,1,0,0,0,0,0,0,0,0,0,116.0,1,C,NCTL,D,1.81,1.629,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,1,6,00:02:34,40,30,0,0,1,0,0,0,1,1,1,0,0,128.0,0,BW,NCTL,ND,2.629,1.4661,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,1,7,00:03:23,40,40,0,0,1,0,0,0,0,0,0,0,0,132.0,0,C,CTL,D,2.3661,2.31949,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,1,8,00:03:45,40,AD,1,1,0,0,0,0,0,0,0,0,0,132.0,0,C,CTL,D,2.12949,3.087541,0.0,0.0,0.9,0.9,0.9,0.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,1,9,00:04:08,40,40,0,0,1,0,0,0,0,0,0,0,0,108.0,0,BC,NCTL,ND,2.916541,2.7787869,0.0,0.0,0.81,0.81,0.81,0.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,1,10,00:04:56,40,AD,1,1,0,0,0,0,0,0,0,0,0,117.0,0,B,NCTL,ND,2.6248869,3.5009082100000004,0.0,0.0,0.7290000000000001,0.7290000000000001,0.7290000000000001,0.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,1,11,00:05:27,40,40,0,0,1,0,0,0,0,0,0,0,0,118.0,0,W,NCTL,D,3.3623982100000003,3.150817389,0.0,0.0,0.6561,0.6561,0.6561,0.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,1,12,00:06:14,40,AD,0,0,1,0,0,0,0,0,0,0,0,124.0,0,BC,NCTL,,3.0261583890000003,3.8357356501000006,0.0,0.0,0.5904900000000001,0.5904900000000001,0.5904900000000001,0.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,2,13,00:07:33,0,0,0,0,1,1,0,0,0,0,0,0,0,90.0,0,B,NCTL,D,2.7235425501000003,4.45216208509,0.0,0.0,0.531441,0.531441,0.531441,0.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,2,14,00:08:06,0,15,0,0,1,1,0,0,0,0,0,0,0,115.0,0,W,CTL,,2.4511882950900006,5.006945876581001,0.0,0.0,0.4782969000000001,0.4782969000000001,0.4782969000000001,0.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,2,15,00:08:48,0,30,1,1,0,1,0,0,0,0,0,0,0,119.0,0,BW,NCTL,D,2.2060694655810003,5.5062512889229005,0.0,0.0,0.4304672100000001,0.4304672100000001,0.4304672100000001,0.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,2,16,00:09:26,15,30,1,1,0,1,0,0,0,0,0,0,0,100.0,0,B,NCTL,ND,2.9854625190229003,4.9556261600306115,0.0,0.0,0.3874204890000001,0.3874204890000001,0.3874204890000001,0.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,2,17,00:10:02,30,30,1,1,0,1,0,0,0,0,0,0,0,126.0,0,C,NCTL,D,3.6869162671206106,4.46006354402755,0.0,0.0,0.3486784401000001,0.3486784401000001,0.3486784401000001,0.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,2,18,00:10:46,40,30,0,0,1,1,0,0,1,0,0,0,0,119.0,0,BW,NCTL,D,4.31822464040855,4.014057189624795,0.0,0.0,0.31381059609000006,0.31381059609000006,0.31381059609000006,0.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,2,19,00:11:22,40,40,1,1,0,1,0,0,0,0,0,0,0,126.0,0,C,NCTL,D,3.8864021763676946,4.612651470662315,0.0,0.0,1.282429536481,0.2824295364810001,0.2824295364810001,0.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,2,20,00:11:44,AD,40,0,0,1,1,0,0,1,0,0,0,0,121.0,1,C,NCTL,ND,4.4977619587309245,4.151386323596084,0.0,0.0,1.1541865828329,0.2541865828329001,0.2541865828329001,0.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,2,21,00:12:20,40,40,0,0,1,1,0,0,0,0,0,0,0,119.0,0,BW,NCTL,D,4.047985762857833,4.736247691236476,0.0,0.0,2.03876792454961,0.2287679245496101,0.2287679245496101,0.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,2,22,00:13:11,40,AD,0,0,1,1,0,0,0,0,0,1,0,103.0,0,BC,NCTL,ND,3.6431871865720495,5.262622922112828,0.0,0.0,1.8348911320946493,0.20589113209464907,0.20589113209464907,0.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,3,23,00:13:58,0,0,1,1,0,0,0,0,0,0,0,0,0,129.0,0,BC,CTL,D,3.2788684679148448,5.7363606299015455,0.0,0.0,1.6514020188851841,0.18530201888518416,0.18530201888518416,1.0,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,3,24,00:14:26,15,0,1,1,0,0,0,0,0,0,0,0,0,103.0,0,BC,NCTL,ND,3.95098162112336,5.1627245669113915,0.0,0.0,1.486261816996666,0.16677181699666577,0.16677181699666577,0.9,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,3,25,00:14:55,30,0,0,0,1,0,0,0,0,0,0,0,0,131.0,0,C,NCTL,,4.555883459011024,4.6464521102202525,0.0,0.0,1.3376356352969991,0.15009463529699918,0.15009463529699918,0.81,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,3,26,00:15:15,30,15,1,1,0,0,0,0,0,0,0,0,0,131.0,1,C,NCTL,ND,4.100295113109922,5.181806899198227,0.0,0.0,1.2038720717672993,0.13508517176729928,0.13508517176729928,0.7290000000000001,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,3,27,00:15:43,40,15,1,1,0,0,1,0,1,1,0,0,0,117.0,0,B,NCTL,ND,4.69026560179893,4.663626209278405,0.0,0.0,1.0834848645905695,0.12157665459056935,0.12157665459056935,0.6561,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,4,28,00:17:45,0,0,1,1,0,1,0,0,0,0,0,0,0,110.0,0,W,CTL,D,5.221239041619037,4.197263588350564,1.0,0.0,1.9751363781315125,1.1094189891315125,0.10941898913151242,0.5904900000000001,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,4,29,00:18:14,15,0,1,1,0,1,0,0,0,0,0,0,0,121.0,1,C,NCTL,ND,5.699115137457134,3.7775372295155076,0.9,0.0,1.7776227403183613,0.9984770902183612,0.09847709021836118,0.531441,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,4,30,00:19:15,30,0,1,1,0,1,0,0,0,0,0,0,0,92.0,0,BC,NCTL,D,6.129203623711421,3.399783506563957,0.81,0.0,1.5998604662865252,0.8986293811965251,0.08862938119652507,0.4782969000000001,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,4,31,00:19:43,40,0,0,0,1,1,0,0,1,0,0,0,0,87.0,0,BW,NCTL,ND,6.516283261340279,3.0598051559075614,0.7290000000000001,0.0,1.4398744196578728,0.8087664430768726,0.07976644307687256,0.4304672100000001,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,4,32,00:20:38,40,15,0,0,1,1,0,0,1,0,0,0,0,100.0,0,B,NCTL,ND,5.864654935206252,3.753824640316805,0.6561,0.0,2.2958869776920854,0.7278897987691854,0.0717897987691853,0.3874204890000001,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,4,33,00:21:20,40,30,0,0,1,1,0,0,1,0,0,0,0,87.0,0,BW,NCTL,ND,5.278189441685626,4.378442176285125,0.5904900000000001,0.0,3.0662982799228766,0.6551008188922669,0.06461081889226677,0.3486784401000001,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,4,34,00:21:50,40,40,1,1,0,1,0,0,0,0,0,0,0,115.0,0,W,CTL,,4.750370497517063,4.940597958656612,0.531441,0.0,3.7596684519305894,0.5895907370030401,0.058149737003040096,0.31381059609000006,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,4,35,00:22:16,AD,40,1,1,0,1,1,0,1,0,0,0,0,92.0,0,BC,NCTL,D,5.275333447765357,4.446538162790952,0.4782969000000001,0.0,3.3837016067375303,0.5306316633027361,0.05233476330273609,0.2824295364810001,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,5,36,00:22:47,0,0,1,1,0,0,0,0,0,0,0,0,0,103.0,0,BC,NCTL,D,5.747800102988822,4.001884346511856,1.4304672100000002,0.0,4.045331446063777,0.47756849697246256,0.047101286972462485,0.2541865828329001,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,5,37,00:23:23,15,0,1,1,0,0,0,0,0,0,0,0,0,129.0,1,BW,NCTL,D,6.17302009268994,3.601695911860671,1.287420489,0.0,3.6407983014574,0.4298116472752163,0.04239115827521624,0.2287679245496101,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,5,38,00:24:00,30,0,1,1,0,0,0,0,0,0,0,0,0,118.0,0,W,CTL,ND,6.555718083420945,3.2415263206746037,1.1586784401,0.0,3.2767184713116597,0.3868304825476947,0.038152042447694615,0.20589113209464907,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,5,39,00:24:19,40,0,0,0,1,0,0,0,1,1,1,0,0,124.0,0,W,CTL,,6.900146275078852,2.9173736886071433,1.0428105960900003,0.0,2.949046624180494,0.3481474342929252,0.03433683820292515,0.18530201888518416,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,5,40,00:24:48,40,15,1,1,0,0,1,0,1,1,0,0,0,110.0,0,BW,CTL,ND,6.210131647570966,3.6256363197464294,0.9385295364810001,0.0,3.6541419617624444,1.3133326908636327,1.0309031543826326,0.16677181699666577,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,6,41,00:26:45,0,0,0,0,1,1,0,0,0,0,0,0,0,87.0,0,BW,NCTL,ND,6.58911848281387,3.263072687771787,1.8446765828329001,0.0,4.2887277655862,2.1819994217772694,0.9278128389443694,0.15009463529699918,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,6,42,00:27:24,0,15,1,1,0,1,0,0,0,0,0,0,0,126.0,0,C,CTL,,5.930206634532483,3.936765418994608,1.66020892454961,0.0,3.85985498902758,1.9637994795995426,0.8350315550499325,0.13508517176729928,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,6,43,00:27:56,15,15,1,1,0,1,0,0,0,0,0,0,0,90.0,0,B,NCTL,D,6.337185971079235,3.5430888770951467,1.4941880320946492,0.0,3.4738694901248226,1.7674195316395884,0.7515283995449393,0.12157665459056935,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,6,44,00:28:41,30,15,1,1,0,1,0,0,0,0,0,0,0,87.0,0,BW,NCTL,ND,6.7034673739713115,3.188779989385633,1.3447692288851845,0.0,3.1264825411123405,1.5906775784756295,0.6763755595904453,0.10941898913151242,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,6,45,00:29:11,40,15,1,1,0,1,1,0,1,0,0,0,0,115.0,0,W,NCTL,,7.033120636574182,2.8699019904470693,1.2102923059966657,0.0,2.8138342870011064,1.4316098206280667,0.6087380036314008,0.09847709021836118,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,7,46,00:29:40,0,0,1,1,0,0,0,0,0,0,0,0,0,128.0,0,BW,NCTL,ND,7.329808572916763,2.5829117914023625,2.0892630753969996,0.0,3.532450858300996,1.28844883856526,0.5478642032682607,0.08862938119652507,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,7,47,00:30:12,15,0,0,0,1,0,0,0,0,0,0,0,0,131.0,0,C,NCTL,ND,7.596827715625087,2.3246206122621262,1.8803367678572993,0.0,3.179205772470896,1.159603954708734,0.4930777829414347,0.07976644307687256,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,7,48,00:30:29,15,15,0,0,1,0,0,0,0,0,0,0,0,118.0,0,W,CTL,ND,6.837144944062578,3.0921585510359137,1.6923030910715695,0.0,2.861285195223807,1.0436435592378606,0.44377000464729127,0.0717897987691853,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,7,49,00:30:55,15,30,1,1,0,0,0,0,0,0,0,0,0,119.0,0,C,NCTL,D,6.15343044965632,3.7829426959323227,1.5230727819644128,0.0,2.575156675701426,0.9392792033140746,0.39939300418256213,0.06461081889226677,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,7,50,00:31:15,30,30,1,1,0,0,0,0,0,0,0,0,0,117.0,0,B,NCTL,D,6.538087404690689,3.40464842633909,1.3707655037679713,0.0,2.3176410081312833,0.8453512829826672,0.3594537037643059,0.058149737003040096,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,7,51,00:31:55,40,30,1,1,0,0,1,0,1,1,0,0,0,131.0,0,C,NCTL,ND,6.88427866422162,3.0641835837051814,1.2336889533911743,0.0,2.085876907318155,0.7608161546844006,0.3235083333878753,0.05233476330273609,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,8,52,00:34:12,0,0,1,1,0,1,0,0,0,0,0,0,0,121.0,0,C,NCTL,,7.195850797799459,2.757765225334663,2.1103200580520567,0.0,2.8772892165863393,1.6847345392159605,0.29115750004908786,0.047101286972462485,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,8,53,00:34:26,15,0,0,0,1,1,0,0,0,0,0,0,0,109.0,0,W,CTL,ND,7.476265718019512,2.481988702801197,1.8992880522468512,0.0,2.589560294927706,1.5162610852943645,0.262041750044179,0.04239115827521624,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,8,54,00:35:07,15,15,1,1,0,1,0,0,0,0,0,0,0,110.0,0,W,CTL,D,6.728639146217562,3.2337898325210777,1.7093592470221661,0.0,2.3306042654349355,1.3646349767649282,0.23583757503976116,0.038152042447694615,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,8,55,00:35:26,30,15,1,1,0,1,0,0,0,0,0,0,0,121.0,0,C,NCTL,ND,7.055775231595806,2.9104108492689695,1.5384233223199497,0.0,2.0975438388914416,1.2281714790884353,0.212253817535785,0.03433683820292515,0.0
Daniel Elahi Galan,2023-wimbledon-1310,1,8,56,00:35:59,40,15,1,1,0,1,1,1,1,0,0,0,0,127.0,0,C,NCTL,D,7.350197708436226,2.619369764342073,1.3845809900879547,0.0,1.8877894550022973,1.1053543311795917,0.19102843578220652,0.030903154382632636,0.0
Daniel Elahi Galan,2023-wimbledon-1310,2,1,57,00:38:00,0,0,0,0,1,0,0,0,0,0,0,0,0,128.0,0,BW,NCTL,ND,7.615177937592603,2.3574327879078654,2.2461228910791595,1.0,2.699010509502068,0.9948188980616326,0.1719255922039859,0.027812838944369374,0.0
Daniel Elahi Galan,2023-wimbledon-1310,2,1,58,00:38:22,0,15,0,0,1,0,0,0,0,0,0,0,0,128.0,0,BW,NCTL,ND,6.853660143833343,3.121689509117079,2.0215106019712437,0.9,2.4291094585518613,0.8953370082554694,0.1547330329835873,0.025031555049932437,0.0
Daniel Elahi Galan,2023-wimbledon-1310,2,1,59,00:39:05,0,30,0,0,1,0,0,0,0,0,0,0,0,117.0,0,B,NCTL,D,6.168294129450008,3.809520558205371,1.8193595417741188,0.81,2.186198512696675,0.8058033074299225,0.1392597296852286,0.022528399544939195,0.0
Daniel Elahi Galan,2023-wimbledon-1310,2,1,60,00:39:38,0,40,0,0,1,0,0,0,0,0,0,0,0,118.0,0,W,CTL,ND,5.5514647165050075,4.4285685023848345,1.6374235875967074,0.7290000000000001,1.9675786614270077,0.7252229766869303,0.1253337567167057,0.020275559590445275,0.0
