player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,if_end_game,if_end_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count,quality
Daniil Medvedev,2023-wimbledon-1305,1,1,1,00:00:00,0,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,3,123.0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Daniil Medvedev,2023-wimbledon-1305,1,1,2,00:00:21,15,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,3,121.0,0,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2
Daniil Medvedev,2023-wimbledon-1305,1,1,3,00:00:41,30,0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,2,88.0,0,1,1,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0
Daniil Medvedev,2023-wimbledon-1305,1,1,4,00:01:11,30,15,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,90.0,0,2,1,0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,1.0
Daniil Medvedev,2023-wimbledon-1305,1,1,5,00:01:39,40,15,0,0,1,1,0,0,1.0,0.0,1,0,0,0,2,101.0,0,2,1,1,1.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.125,0.0
Daniil Medvedev,2023-wimbledon-1305,1,1,6,00:02:04,40,30,1,1,0,1,1,0,0.0,0.0,1,0,0,0,1,121.0,0,2,0,2,0.6875,1.25,0.0,0.0,1.0,0.0,0.0,0.0,3.5625,1.0
Daniil Medvedev,2023-wimbledon-1305,1,2,7,00:03:07,0,0,1,1,0,0,0,0,0.0,0.0,0,0,0,0,6,93.0,0,3,1,1,1.34375,0.625,1.0,0.0,1.5,0.0,0.0,0.0,2.78125,1.0
Daniil Medvedev,2023-wimbledon-1305,1,2,8,00:03:49,15,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,111.0,0,2,1,0,1.671875,0.3125,0.5,0.0,0.75,0.0,0.0,0.0,7.390625,0.0
Daniil Medvedev,2023-wimbledon-1305,1,2,9,00:04:30,15,15,1,1,0,0,0,0,0.0,0.0,0,0,0,0,10,118.0,0,2,1,1,0.8359375,1.15625,0.25,0.0,0.375,0.0,0.0,0.0,4.6953125,1.0
Daniil Medvedev,2023-wimbledon-1305,1,2,10,00:05:20,30,15,1,1,0,0,0,0,0.0,0.0,0,0,0,0,4,86.0,0,4,1,1,1.41796875,0.578125,0.125,0.0,0.1875,0.0,0.0,0.0,12.34765625,1.0
