player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count
David Goffin,2023-wimbledon-1313,1,1,1,00:00:00,0,0,0,0,1,0,0,0,0,0,0,0,3,88.0,0,C,NCTL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Goffin,2023-wimbledon-1313,1,1,2,00:00:35,15,0,0,0,1,0,0,0,0,0,0,0,3,117.0,0,BW,NCTL,ND,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
David Goffin,2023-wimbledon-1313,1,1,3,00:00:57,30,0,0,0,1,0,0,0,0,0,0,0,1,88.0,0,BC,NCTL,D,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,5.7
David Goffin,2023-wimbledon-1313,1,1,4,00:01:25,40,0,0,0,1,0,0,0,0,0,0,0,1,124.0,0,C,NCTL,,0.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,6.130000000000001
David Goffin,2023-wimbledon-1313,1,2,5,00:02:40,0,0,1,1,0,1,0,0,0,0,0,0,5,119.0,0,C,NCTL,D,0.0,3.439,0.0,0.0,0.0,0.0,0.0,0.0,6.517000000000001
David Goffin,2023-wimbledon-1313,1,2,6,00:03:05,0,15,1,1,0,1,0,0,0,0,0,0,3,109.0,0,C,NCTL,ND,1.0,3.0951,0.0,0.0,0.0,0.0,0.0,0.0,10.865300000000001
David Goffin,2023-wimbledon-1313,1,2,7,00:03:29,0,30,0,0,1,1,0,0,0,0,0,0,2,119.0,0,C,CTL,ND,1.9,2.78559,0.0,0.0,0.0,0.0,0.0,0.0,12.778770000000002
David Goffin,2023-wimbledon-1313,1,2,8,00:04:02,15,30,0,0,1,1,0,0,0,0,0,0,8,95.0,0,C,NCTL,D,1.71,3.507031,0.0,0.0,0.0,0.0,0.0,0.0,13.500893000000001
David Goffin,2023-wimbledon-1313,1,2,9,00:04:55,30,30,0,0,1,1,0,0,0,0,0,0,0,119.0,0,C,CTL,,1.5390000000000001,4.156327900000001,0.0,0.0,0.0,0.0,0.0,0.0,20.150803700000004
David Goffin,2023-wimbledon-1313,1,2,10,00:05:20,40,30,0,0,1,1,0,0,0,0,0,1,2,114.0,0,BW,NCTL,ND,1.3851,4.74069511,0.0,0.0,0.0,0.0,0.0,0.0,18.13572333
David Goffin,2023-wimbledon-1313,1,3,11,00:05:54,0,0,1,1,0,0,0,0,0,0,0,0,4,93.0,0,BC,NCTL,D,1.24659,5.266625599000001,0.0,0.0,0.0,0.0,0.0,1.0,18.322150997
