player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count
Grigor Dimitrov,2023-wimbledon-1303,1,1,1,00:00:00,0,0,0,0,1,1,0,0,0,0,0,0,2,99.0,0,BC,NCTL,ND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grigor Dimitrov,2023-wimbledon-1303,1,1,2,00:00:33,15,0,1,1,0,1,0,0,0,0,0,0,1,103.0,0,B,NCTL,D,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Grigor Dimitrov,2023-wimbledon-1303,1,1,3,00:01:04,15,15,1,1,0,1,0,0,0,0,0,0,7,115.0,0,BW,NCTL,ND,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.8
Grigor Dimitrov,2023-wimbledon-1303,1,1,4,00:01:36,15,30,1,1,0,1,0,0,0,0,0,0,1,126.0,0,C,NCTL,ND,1.9,0.81,0.0,0.0,0.0,0.0,0.0,0.0,9.52
Grigor Dimitrov,2023-wimbledon-1303,1,1,5,00:01:56,15,40,1,1,0,1,1,0,1,0,0,0,1,121.0,0,W,CTL,,2.71,0.7290000000000001,0.0,0.0,0.0,0.0,0.0,0.0,9.568
Grigor Dimitrov,2023-wimbledon-1303,1,2,6,00:02:48,0,0,0,0,1,0,0,0,0,0,0,0,5,130.0,0,C,NCTL,D,3.439,0.6561,1.0,0.0,1.0,0.0,0.0,0.0,9.6112
Grigor Dimitrov,2023-wimbledon-1303,1,2,7,00:03:09,15,0,0,0,1,0,0,0,0,0,0,0,1,123.0,0,C,CTL,D,3.0951,1.59049,0.9,0.0,0.9,0.0,0.0,0.0,13.65008
Grigor Dimitrov,2023-wimbledon-1303,1,2,8,00:03:31,30,0,0,0,1,0,0,0,0,0,0,0,1,131.0,0,C,CTL,,2.78559,2.431441,0.81,0.0,0.81,0.0,0.0,0.0,13.285072
Grigor Dimitrov,2023-wimbledon-1303,1,2,9,00:03:49,40,0,0,0,1,0,0,0,0,0,0,0,5,87.0,0,W,CTL,ND,2.5070310000000005,3.1882969,0.7290000000000001,0.0,0.7290000000000001,0.0,0.0,0.0,12.956564800000002
Grigor Dimitrov,2023-wimbledon-1303,1,3,10,00:04:55,0,0,1,1,0,1,0,0,0,0,0,0,1,132.0,0,C,NCTL,D,2.2563279,3.8694672100000003,0.6561,0.0,0.6561,0.0,0.0,0.0,16.66090832
Grigor Dimitrov,2023-wimbledon-1303,1,3,11,00:05:29,0,15,1,1,0,1,0,0,0,0,0,0,15,104.0,1,B,NCTL,ND,3.0306951100000004,3.482520489,0.5904900000000001,0.0,0.5904900000000001,0.0,0.0,0.0,15.994817488000002
Grigor Dimitrov,2023-wimbledon-1303,1,3,12,00:06:46,0,30,0,0,1,1,0,0,0,0,0,0,0,138.0,0,C,CTL,,3.7276255990000005,3.1342684401,0.531441,0.0,0.531441,0.0,0.0,0.0,29.3953357392
Grigor Dimitrov,2023-wimbledon-1303,1,3,13,00:07:20,15,30,0,0,1,1,0,0,0,0,0,0,0,126.0,0,W,CTL,ND,3.3548630391,3.82084159609,0.4782969000000001,0.0,0.4782969000000001,0.0,0.0,0.0,26.455802165280005
