player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,if_end_game,if_end_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count,quality
Holger Rune,2023-wimbledon-1304,1,1,1,00:00:00,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,86.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Holger Rune,2023-wimbledon-1304,1,1,2,00:00:41,15,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,92.0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Holger Rune,2023-wimbledon-1304,1,1,3,00:01:09,30,0,0,0,1,0,0,0,1.0,0.0,0,0,0,0,1,102.0,0,4,0,1,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
Holger Rune,2023-wimbledon-1304,1,1,4,00:01:29,40,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,120.0,0,2,0,1,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.3333333333333333
Holger Rune,2023-wimbledon-1304,1,2,5,00:02:42,0,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,112.0,0,2,1,2,0.0,1.875,0.0,0.0,0.0,0.0,0.0,0.0,1.875,1.0
Holger Rune,2023-wimbledon-1304,1,2,6,00:03:10,0,15,1,1,0,1,0,0,0.0,0.0,0,0,0,0,3,123.0,0,3,1,1,1.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,1.9375,1.0
Holger Rune,2023-wimbledon-1304,1,2,7,00:03:49,0,30,1,1,0,1,0,0,1.0,0.0,0,0,0,0,3,123.0,0,4,0,0,1.5,0.46875,0.0,0.0,0.0,0.0,0.0,0.0,3.96875,1.0
Holger Rune,2023-wimbledon-1304,1,2,8,00:04:13,0,40,1,1,0,1,1,0,0.0,0.0,1,0,0,0,3,104.0,0,4,1,1,1.75,0.234375,0.0,0.0,0.0,0.0,0.0,0.0,4.984375,1.0
Holger Rune,2023-wimbledon-1304,1,3,9,00:04:57,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,100.0,0,1,1,0,1.875,0.1171875,1.0,0.0,1.0,0.0,0.0,0.0,5.4921875,0.5
Holger Rune,2023-wimbledon-1304,1,3,10,00:05:29,15,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,114.0,0,3,1,1,0.9375,1.05859375,0.5,0.0,0.5,0.0,0.0,0.0,3.74609375,0.0
Holger Rune,2023-wimbledon-1304,1,3,11,00:05:59,30,0,0,0,1,0,0,0,1.0,0.0,0,0,0,0,3,95.0,0,1,1,0,0.46875,1.529296875,0.25,0.0,0.25,0.0,0.0,0.0,2.873046875,1.0
Holger Rune,2023-wimbledon-1304,1,3,12,00:06:30,40,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,7,117.0,0,4,1,0,0.234375,1.7646484375,0.125,0.0,0.125,0.0,0.0,0.0,4.4365234375,0.5
