player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,if_end_game,if_end_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count,quality
Hubert Hurkacz,2023-wimbledon-1315,1,1,1,00:00:00,0,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,99.0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Hubert Hurkacz,2023-wimbledon-1315,1,1,2,00:00:25,0,15,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,126.0,0,3,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Hubert Hurkacz,2023-wimbledon-1315,1,1,3,00:00:38,0,30,1,1,0,1,0,0,1.0,0.0,0,0,0,0,1,124.0,0,1,0,2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0
Hubert Hurkacz,2023-wimbledon-1315,1,1,4,00:00:53,0,40,1,1,0,1,1,0,0.0,0.0,1,0,0,0,1,98.0,0,0,1,0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.0
Hubert Hurkacz,2023-wimbledon-1315,1,2,5,00:02:03,0,0,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,110.0,0,2,0,2,1.875,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.875,1.0
Hubert Hurkacz,2023-wimbledon-1315,1,2,6,00:02:35,0,15,0,0,1,0,0,0,0.0,0.0,0,0,0,0,3,116.0,0,3,1,1,1.9375,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.9375,0.0
Hubert Hurkacz,2023-wimbledon-1315,1,2,7,00:03:16,15,15,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,88.0,0,1,1,1,0.96875,1.0,0.25,0.0,0.25,0.0,0.0,0.0,3.46875,1.0
Hubert Hurkacz,2023-wimbledon-1315,1,2,8,00:03:51,30,15,0,0,1,0,0,0,0.0,0.0,0,0,0,0,7,96.0,0,1,0,1,0.484375,1.5,0.125,0.0,0.125,0.0,0.0,0.0,2.734375,0.0
Hubert Hurkacz,2023-wimbledon-1315,1,2,9,00:04:40,40,15,1,1,0,0,0,0,1.0,0.0,0,0,0,0,6,83.0,0,0,1,0,0.2421875,1.75,0.0625,0.0,0.0625,0.0,0.0,0.0,8.3671875,1.0
Hubert Hurkacz,2023-wimbledon-1315,1,2,10,00:05:30,40,30,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,116.0,0,4,0,1,1.12109375,0.875,0.03125,0.0,0.03125,0.0,0.0,0.0,10.18359375,0.0
Hubert Hurkacz,2023-wimbledon-1315,1,3,11,00:05:58,0,0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,2,104.0,0,2,1,0,0.560546875,1.4375,0.015625,0.0,0.015625,0.0,0.0,0.0,6.091796875,0.0
Hubert Hurkacz,2023-wimbledon-1315,1,3,12,00:06:15,15,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,120.0,0,3,0,2,0.2802734375,1.71875,0.0078125,0.0,0.0078125,0.0,0.0,0.0,5.0458984375,0.0
Hubert Hurkacz,2023-wimbledon-1315,1,3,13,00:06:30,15,15,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,129.0,0,3,1,2,1.14013671875,0.859375,0.00390625,0.0,0.00390625,0.0,0.0,0.0,3.52294921875,1.0
Hubert Hurkacz,2023-wimbledon-1315,1,3,14,00:06:45,15,30,1,1,0,1,0,0,1.0,0.0,0,0,0,0,1,92.0,0,4,0,1,1.570068359375,0.4296875,0.001953125,0.0,0.001953125,0.0,0.0,0.0,2.761474609375,0.0
Hubert Hurkacz,2023-wimbledon-1315,1,3,15,00:07:28,15,40,1,1,0,1,1,0,0.0,0.0,1,0,0,0,1,122.0,0,0,1,0,1.7850341796875,0.21484375,0.0009765625,0.0,0.0009765625,0.0,0.0,0.0,2.3807373046875,1.0
Hubert Hurkacz,2023-wimbledon-1315,1,4,16,00:09:04,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,115.0,0,3,1,1,1.89251708984375,0.107421875,1.00048828125,0.0,1.00048828125,0.0,0.0,0.0,2.19036865234375,0.0
Hubert Hurkacz,2023-wimbledon-1315,1,4,17,00:09:24,15,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,3,116.0,0,4,1,1,0.946258544921875,1.0537109375,0.500244140625,0.0,0.500244140625,0.0,0.0,0.0,2.095184326171875,0.0
