player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count
Jannik Sinner,2023-wimbledon-1309,1,1,1,00:00:00,0,0,1,1,0,0,0,0,0,0,0,0,8,104.0,0,B,NCTL,ND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jannik Sinner,2023-wimbledon-1309,1,1,2,00:00:41,15,0,0,0,1,0,0,0,0,0,0,0,1,110.0,0,B,CTL,ND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Jannik Sinner,2023-wimbledon-1309,1,1,3,00:01:15,15,15,0,0,1,0,0,0,0,0,0,0,1,111.0,0,W,NCTL,ND,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2
Jannik Sinner,2023-wimbledon-1309,1,1,4,00:01:36,15,30,1,1,0,0,0,0,0,0,0,0,0,123.0,0,BW,CTL,ND,0.81,1.9,0.0,0.0,0.0,0.0,0.0,0.0,8.38
Jannik Sinner,2023-wimbledon-1309,1,1,5,00:02:06,30,30,0,0,1,0,0,0,0,0,0,0,5,108.0,0,W,CTL,ND,1.729,1.71,0.0,0.0,0.0,0.0,0.0,0.0,7.542000000000002
Jannik Sinner,2023-wimbledon-1309,1,1,6,00:02:38,30,40,0,0,1,0,0,0,0,0,0,0,5,103.0,0,W,NCTL,ND,1.5561,2.539,0.0,0.0,0.0,0.0,0.0,0.0,11.7878
Jannik Sinner,2023-wimbledon-1309,1,2,7,00:03:55,0,0,1,1,0,1,0,0,0,0,0,0,1,105.0,0,B,CTL,ND,1.40049,3.2851,0.0,0.0,0.0,0.0,0.0,0.0,15.609020000000001
Jannik Sinner,2023-wimbledon-1309,1,2,8,00:04:29,15,0,0,0,1,1,0,0,0,0,0,0,0,105.0,0,B,CTL,,2.260441,2.95659,0.0,0.0,0.0,0.0,0.0,0.0,15.048118000000002
Jannik Sinner,2023-wimbledon-1309,1,2,9,00:05:00,15,15,1,1,0,1,0,0,0,0,0,0,1,115.0,0,W,NCTL,D,2.0343969,3.660931,0.0,0.0,0.0,0.0,0.0,0.0,13.5433062
Jannik Sinner,2023-wimbledon-1309,1,2,10,00:05:29,30,15,1,1,0,1,0,0,0,0,0,0,1,99.0,0,B,NCTL,ND,2.8309572100000002,3.2948379,0.0,0.0,0.0,0.0,0.0,0.0,13.188975580000001
