player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,if_end_game,if_end_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count,quality
Jiri Lehecka,2023-wimbledon-1306,1,1,1,00:00:00,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,102.0,0,4,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiri Lehecka,2023-wimbledon-1306,1,1,2,00:00:35,0,15,0,0,1,0,0,0,0.0,0.0,0,0,0,0,3,125.0,0,4,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Jiri Lehecka,2023-wimbledon-1306,1,1,3,00:00:58,0,30,1,1,0,0,0,0,0.0,0.0,0,0,0,0,6,101.0,0,0,1,0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0
Jiri Lehecka,2023-wimbledon-1306,1,1,4,00:01:39,15,30,0,0,1,0,0,0,1.0,0.0,0,0,0,0,3,121.0,0,3,0,1,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,7.75,1.0
Jiri Lehecka,2023-wimbledon-1306,1,1,5,00:02:03,15,40,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,126.0,0,3,0,2,0.5,1.375,0.0,0.0,0.0,0.0,0.0,0.0,6.875,1.0
Jiri Lehecka,2023-wimbledon-1306,1,2,6,00:03:01,0,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,3,111.0,1,4,0,1,0.25,1.6875,0.0,0.0,0.0,0.0,0.0,0.0,4.4375,0.3333333333333333
Jiri Lehecka,2023-wimbledon-1306,1,2,7,00:03:24,15,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,117.0,0,4,0,2,1.125,0.84375,0.0,0.0,0.0,0.0,0.0,0.0,5.21875,1.0
Jiri Lehecka,2023-wimbledon-1306,1,2,8,00:03:43,30,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,129.0,0,3,1,2,1.5625,0.421875,0.0,0.0,0.0,0.0,0.0,0.0,3.609375,1.0
Jiri Lehecka,2023-wimbledon-1306,1,2,9,00:04:01,40,0,0,0,1,1,0,0,0.0,0.0,1,0,0,0,4,103.0,0,3,1,1,1.78125,0.2109375,0.0,0.0,0.0,0.0,0.0,0.0,2.8046875,0.0
Jiri Lehecka,2023-wimbledon-1306,1,2,10,00:04:25,40,15,0,0,1,1,0,0,1.0,0.0,1,0,0,0,2,120.0,0,3,1,1,0.890625,1.10546875,0.0,0.0,1.0,0.0,0.0,0.0,5.40234375,0.5
Jiri Lehecka,2023-wimbledon-1306,1,2,11,00:04:45,40,30,1,1,0,1,1,0,0.0,0.0,1,0,0,0,1,108.0,0,0,1,0,0.4453125,1.552734375,0.0,0.0,1.5,0.0,0.0,0.0,4.701171875,0.3333333333333333
Jiri Lehecka,2023-wimbledon-1306,1,3,12,00:05:28,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,3,124.0,0,3,1,2,1.22265625,0.7763671875,1.0,0.0,1.75,0.0,0.0,0.0,3.3505859375,0.0
Jiri Lehecka,2023-wimbledon-1306,1,3,13,00:05:49,0,15,1,1,0,0,0,0,0.0,0.0,0,0,0,0,2,97.0,0,1,1,0,0.611328125,1.38818359375,0.5,0.0,0.875,0.0,0.0,0.0,4.67529296875,0.5
Jiri Lehecka,2023-wimbledon-1306,1,3,14,00:06:25,15,15,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,106.0,0,4,0,2,1.3056640625,0.694091796875,0.25,0.0,0.4375,0.0,0.0,0.0,4.337646484375,0.0
Jiri Lehecka,2023-wimbledon-1306,1,3,15,00:06:44,15,30,1,1,0,0,0,0,0.0,0.0,0,0,0,0,4,91.0,0,2,1,1,0.65283203125,1.3470458984375,0.125,0.0,0.21875,0.0,0.0,0.0,3.1688232421875,1.0
Jiri Lehecka,2023-wimbledon-1306,1,3,16,00:07:14,30,30,1,1,0,0,0,0,1.0,0.0,0,0,0,0,2,105.0,0,0,1,0,1.326416015625,0.67352294921875,0.0625,0.0,0.109375,0.0,0.0,0.0,5.58441162109375,1.0
Jiri Lehecka,2023-wimbledon-1306,1,3,17,00:07:49,40,30,1,1,0,0,1,0,0.0,0.0,1,1,0,0,4,120.0,0,3,1,1,1.6632080078125,0.336761474609375,0.03125,0.0,0.0546875,0.0,0.0,0.0,4.792205810546875,1.0
Jiri Lehecka,2023-wimbledon-1306,1,4,18,00:09:30,0,0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,2,93.0,0,1,1,0,1.83160400390625,0.1683807373046875,1.015625,0.0,1.02734375,1.0,0.0,0.0,6.3961029052734375,0.0
Jiri Lehecka,2023-wimbledon-1306,1,4,19,00:10:00,0,15,1,1,0,1,0,0,0.0,0.0,0,0,0,0,5,106.0,1,0,1,1,0.915802001953125,1.0841903686523438,0.5078125,0.0,0.513671875,0.5,0.0,0.0,5.198051452636719,0.5
Jiri Lehecka,2023-wimbledon-1306,1,4,20,00:10:38,15,15,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,113.0,0,4,0,2,1.4579010009765625,0.5420951843261719,0.25390625,0.0,0.2568359375,0.25,0.0,0.0,7.599025726318359,1.0
Jiri Lehecka,2023-wimbledon-1306,1,4,21,00:11:28,30,15,1,1,0,1,0,0,0.0,0.0,0,0,0,0,3,92.0,1,4,0,1,1.7289505004882812,0.2710475921630859,0.126953125,0.0,0.12841796875,0.125,0.0,0.0,4.79951286315918,1.0
Jiri Lehecka,2023-wimbledon-1306,1,4,22,00:12:15,40,15,0,0,1,1,0,0,0.0,0.0,1,0,0,0,2,105.0,0,1,0,0,1.8644752502441408,0.1355237960815429,0.0634765625,0.0,0.064208984375,0.0625,0.0,0.0,5.39975643157959,0.0
Jiri Lehecka,2023-wimbledon-1306,1,4,23,00:12:47,40,30,0,0,1,1,0,0,0.0,0.0,1,0,0,0,2,115.0,1,1,1,2,0.9322376251220704,1.0677618980407717,0.03173828125,0.0,1.0321044921875,0.03125,0.0,0.0,4.699878215789795,0.0
Jiri Lehecka,2023-wimbledon-1306,1,4,24,00:13:37,40,40,0,0,1,1,0,0,0.0,0.0,0,0,0,0,6,110.0,0,2,1,0,0.4661188125610351,1.5338809490203855,0.015869140625,0.0,1.51605224609375,0.015625,0.0,0.0,4.3499391078948975,0.0
Jiri Lehecka,2023-wimbledon-1306,1,4,25,00:14:34,40,AD,1,1,0,1,0,0,0.0,0.0,0,0,0,0,3,105.0,0,1,1,1,0.2330594062805175,1.7669404745101929,0.0079345703125,0.0,0.758026123046875,0.0078125,0.0,0.0,8.174969553947449,0.5
Jiri Lehecka,2023-wimbledon-1306,1,4,26,00:15:12,40,40,1,1,0,1,0,0,1.0,0.0,0,0,0,0,1,123.0,0,3,1,2,1.1165297031402588,0.8834702372550964,0.00396728515625,0.0,0.3790130615234375,0.00390625,0.0,0.0,7.087484776973724,1.0
Jiri Lehecka,2023-wimbledon-1306,1,4,27,00:15:33,AD,40,1,1,0,1,1,0,0.0,0.0,1,0,0,0,3,104.0,0,4,0,0,1.5582648515701294,0.4417351186275482,0.001983642578125,0.0,0.1895065307617187,0.001953125,0.0,0.0,4.543742388486862,0.0
Jiri Lehecka,2023-wimbledon-1306,1,5,28,00:16:27,0,0,1,1,0,0,0,0,0.0,0.0,0,0,0,0,2,112.0,0,2,1,1,1.7791324257850647,0.2208675593137741,1.0009918212890625,0.0,1.0947532653808594,0.0009765625,0.0,0.0,5.271871194243431,0.0
Jiri Lehecka,2023-wimbledon-1306,1,5,29,00:16:51,15,0,1,1,0,0,0,0,0.0,0.0,0,0,0,0,2,123.0,0,2,1,0,1.8895662128925323,0.110433779656887,0.5004959106445312,0.0,0.5473766326904297,0.00048828125,0.0,0.0,4.635935597121716,1.0
Jiri Lehecka,2023-wimbledon-1306,1,5,30,00:17:22,30,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,127.0,0,1,0,1,1.9447831064462664,0.0552168898284435,0.2502479553222656,0.0,0.2736883163452148,0.000244140625,0.0,0.0,4.317967798560858,1.0
Jiri Lehecka,2023-wimbledon-1306,1,5,31,00:17:47,30,15,1,1,0,0,0,0,1.0,0.0,0,0,0,0,8,120.0,1,1,1,0,0.9723915532231332,1.0276084449142218,0.1251239776611328,0.0,0.1368441581726074,0.0001220703125,0.0,0.0,3.158983899280429,1.0
Jiri Lehecka,2023-wimbledon-1306,1,5,32,00:18:29,40,15,1,1,0,0,1,0,0.0,0.0,1,1,0,0,8,95.0,0,0,1,1,1.4861957766115663,0.5138042224571109,0.0625619888305664,0.0,0.0684220790863037,6.103515625e-05,0.0,0.0,9.579491949640214,1.0
Jiri Lehecka,2023-wimbledon-1306,1,6,33,00:20:23,0,0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,2,106.0,0,0,1,1,1.7430978883057833,0.2569021112285554,1.0312809944152832,0.0,1.034211039543152,1.000030517578125,0.0,0.0,12.789745974820107,0.5
Jiri Lehecka,2023-wimbledon-1306,1,6,34,00:20:56,0,15,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,119.0,0,3,1,2,0.8715489441528916,1.1284510556142775,0.5156404972076416,0.0,0.5171055197715759,0.5000152587890625,0.0,0.0,8.394872987410054,1.0
Jiri Lehecka,2023-wimbledon-1306,1,6,35,00:21:14,15,15,1,1,0,1,0,0,0.0,0.0,0,0,0,0,5,121.0,0,3,1,1,1.4357744720764458,0.5642255278071389,0.2578202486038208,0.0,0.2585527598857879,0.2500076293945312,0.0,0.0,5.197436493705027,1.0
Jiri Lehecka,2023-wimbledon-1306,1,6,36,00:21:47,30,15,1,1,0,1,0,0,1.0,0.0,0,0,0,0,3,107.0,1,4,1,1,1.717887236038223,0.2821127639035694,0.1289101243019104,0.0,0.1292763799428939,0.1250038146972656,0.0,0.0,7.598718246852513,0.0
