player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count
Laslo Djere,2023-wimbledon-1308,1,1,1,00:00:00,0,0,0,0,1,0,0,0,0,0,0,0,1,114.0,0,W,CTL,ND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laslo Djere,2023-wimbledon-1308,1,1,2,00:00:16,0,15,0,0,1,0,0,0,0,0,0,0,3,123.0,0,W,NCTL,ND,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Laslo Djere,2023-wimbledon-1308,1,1,3,00:00:39,0,30,0,0,1,0,0,0,0,0,0,0,1,105.0,0,BC,NCTL,D,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,3.9
Laslo Djere,2023-wimbledon-1308,1,1,4,00:01:08,0,40,0,0,1,0,0,0,0,0,0,0,7,119.0,0,C,NCTL,D,0.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,4.51
Laslo Djere,2023-wimbledon-1308,1,2,5,00:02:20,0,0,1,1,0,1,0,0,0,0,0,0,9,93.0,0,C,NCTL,ND,0.0,3.439,0.0,0.0,0.0,0.0,0.0,0.0,11.059000000000001
Laslo Djere,2023-wimbledon-1308,1,2,6,00:03:04,15,0,0,0,1,1,0,0,0,0,0,0,2,81.0,0,B,NCTL,ND,1.0,3.0951,0.0,0.0,0.0,0.0,0.0,0.0,18.9531
Laslo Djere,2023-wimbledon-1308,1,2,7,00:03:56,15,15,1,1,0,1,0,0,0,0,0,0,13,108.0,1,W,NCTL,ND,0.9,3.78559,0.0,0.0,0.0,0.0,0.0,0.0,19.057789999999997
Laslo Djere,2023-wimbledon-1308,1,2,8,00:04:38,30,15,1,1,0,1,0,0,0,0,0,0,5,96.0,0,C,NCTL,ND,1.81,3.407031,0.0,0.0,0.0,0.0,0.0,0.0,30.152011
Laslo Djere,2023-wimbledon-1308,1,2,9,00:05:18,40,15,1,1,0,1,1,0,1,0,0,0,5,118.0,0,C,NCTL,ND,2.629,3.0663279000000006,0.0,0.0,0.0,0.0,0.0,0.0,32.1368099
Laslo Djere,2023-wimbledon-1308,1,3,10,00:05:58,0,0,0,0,1,0,0,0,0,0,0,0,3,128.0,0,BC,CTL,ND,3.3661,2.75969511,1.0,0.0,1.0,0.0,0.0,0.0,33.92312891
Laslo Djere,2023-wimbledon-1308,1,3,11,00:06:23,0,15,0,0,1,0,0,0,0,0,0,0,1,124.0,0,C,NCTL,D,3.02949,3.4837255990000005,0.9,0.0,0.9,0.0,0.0,0.0,33.530816019
Laslo Djere,2023-wimbledon-1308,1,3,12,00:06:43,0,30,1,1,0,0,0,0,0,0,0,0,2,110.0,0,BW,NCTL,D,2.726541,4.1353530391,0.81,0.0,0.81,0.0,0.0,0.0,31.1777344171
Laslo Djere,2023-wimbledon-1308,1,3,13,00:07:18,15,30,0,0,1,0,0,0,0,0,0,0,1,121.0,0,W,CTL,,3.4538869000000005,3.72181773519,0.7290000000000001,0.0,0.7290000000000001,0.0,0.0,0.0,30.059960975390002
Laslo Djere,2023-wimbledon-1308,1,3,14,00:07:36,15,40,1,1,0,0,0,0,0,0,0,0,4,124.0,0,BC,NCTL,D,3.10849821,4.349635961671001,0.6561,0.0,0.6561,0.0,0.0,0.0,28.053964877851
Laslo Djere,2023-wimbledon-1308,1,3,15,00:08:05,30,40,1,1,0,0,0,0,0,0,0,0,2,128.0,0,C,NCTL,D,3.7976483890000003,3.9146723655039004,0.5904900000000001,0.0,0.5904900000000001,0.0,0.0,0.0,29.248568390065902
Laslo Djere,2023-wimbledon-1308,1,3,16,00:08:30,40,40,0,0,1,0,0,0,0,0,0,0,7,115.0,0,W,NCTL,ND,4.417883550100001,3.5232051289535105,0.531441,0.0,0.531441,0.0,0.0,0.0,28.323711551059315
Laslo Djere,2023-wimbledon-1308,1,3,17,00:09:02,40,AD,1,1,0,0,0,0,0,0,0,0,2,102.0,0,BW,NCTL,ND,3.9760951950900005,4.17088461605816,0.4782969000000001,0.0,0.4782969000000001,0.0,0.0,0.0,32.49134039595339
Laslo Djere,2023-wimbledon-1308,1,3,18,00:09:38,40,40,0,0,1,0,0,0,0,0,0,0,5,125.0,0,BC,CTL,D,4.578485675581001,3.7537961544523437,0.4304672100000001,0.0,0.4304672100000001,0.0,0.0,0.0,31.242206356358047
Laslo Djere,2023-wimbledon-1308,1,3,19,00:10:11,40,AD,0,0,1,0,0,0,0,0,0,0,5,121.0,0,C,NCTL,ND,4.120637108022901,4.37841653900711,0.3874204890000001,0.0,0.3874204890000001,0.0,0.0,0.0,33.117985720722245
Laslo Djere,2023-wimbledon-1308,1,4,20,00:11:57,0,0,1,1,0,1,0,0,0,0,0,0,1,114.0,0,C,CTL,,3.7085733972206105,4.940574885106399,0.3486784401000001,0.0,0.3486784401000001,0.0,0.0,0.0,34.806187148650025
Laslo Djere,2023-wimbledon-1308,1,4,21,00:12:18,15,0,0,0,1,1,0,0,0,0,0,0,2,83.0,0,BW,NCTL,ND,4.337716057498549,4.446517396595759,0.31381059609000006,0.0,0.31381059609000006,0.0,0.0,0.0,32.32556843378502
Laslo Djere,2023-wimbledon-1308,1,4,22,00:12:51,15,15,1,1,0,1,0,0,0,0,0,0,3,105.0,0,W,CTL,D,3.9039444517486945,5.001865656936182,0.2824295364810001,0.0,0.2824295364810001,0.0,0.0,0.0,31.093011590406515
Laslo Djere,2023-wimbledon-1308,1,4,23,00:13:14,30,15,0,0,1,1,0,0,0,0,0,0,6,97.0,0,BW,NCTL,ND,4.513550006573825,4.501679091242565,0.2541865828329001,0.0,0.2541865828329001,0.0,0.0,0.0,30.983710431365868
Laslo Djere,2023-wimbledon-1308,1,4,24,00:13:58,30,30,1,1,0,1,0,0,0,0,0,0,1,122.0,0,C,NCTL,D,4.062195005916443,5.0515111821183085,0.2287679245496101,0.0,0.2287679245496101,0.0,0.0,0.0,33.885339388229276
Laslo Djere,2023-wimbledon-1308,1,4,25,00:14:19,40,30,1,1,0,1,1,0,1,0,0,0,1,84.0,0,W,CTL,D,4.655975505324799,4.546360063906478,0.20589113209464907,0.0,0.20589113209464907,0.0,0.0,0.0,31.496805449406352
Laslo Djere,2023-wimbledon-1308,1,5,26,00:15:01,0,0,1,1,0,0,0,0,0,0,0,0,4,117.0,0,W,CTL,D,5.19037795479232,4.0917240575158305,1.1853020188851842,0.0,1.1853020188851842,0.0,0.0,0.0,29.34712490446572
Laslo Djere,2023-wimbledon-1308,1,5,27,00:15:30,15,0,0,0,1,0,0,0,0,0,0,0,1,122.0,0,W,CTL,ND,5.671340159313087,3.682551651764247,1.0667718169966658,0.0,1.0667718169966658,0.0,0.0,0.0,30.412412414019144
Laslo Djere,2023-wimbledon-1308,1,5,28,00:15:47,15,15,0,0,1,0,0,0,0,0,0,0,1,127.0,0,BC,NCTL,ND,5.104206143381779,4.314296486587823,0.9600946352969992,0.0,0.9600946352969992,0.0,0.0,0.0,28.371171172617235
Laslo Djere,2023-wimbledon-1308,1,5,29,00:16:02,15,30,1,1,0,0,0,0,0,0,0,0,2,97.0,0,BC,NCTL,ND,4.5937855290436005,4.88286683792904,0.8640851717672994,0.0,0.8640851717672994,0.0,0.0,0.0,26.53405405535551
Laslo Djere,2023-wimbledon-1308,1,5,30,00:16:40,30,30,0,0,1,0,0,0,0,0,0,0,1,120.0,0,C,NCTL,ND,5.134406976139241,4.394580154136136,0.7776766545905693,0.0,0.7776766545905693,0.0,0.0,0.0,25.880648649819957
Laslo Djere,2023-wimbledon-1308,1,5,31,00:16:57,30,40,1,1,0,0,0,0,0,0,0,0,2,128.0,0,C,CTL,D,4.620966278525317,4.955122138722523,0.6999089891315124,0.0,0.6999089891315124,0.0,0.0,0.0,24.292583784837962
Laslo Djere,2023-wimbledon-1308,1,5,32,00:17:25,40,40,0,0,1,0,0,0,0,0,0,0,1,126.0,0,C,CTL,,5.158869650672785,4.4596099248502705,0.6299180902183612,0.0,0.6299180902183612,0.0,0.0,0.0,23.863325406354164
Laslo Djere,2023-wimbledon-1308,1,5,33,00:17:42,40,AD,1,1,0,0,0,0,0,0,0,0,16,95.0,0,BW,NCTL,ND,4.6429826856055065,5.0136489323652444,0.5669262811965251,0.0,0.5669262811965251,0.0,0.0,0.0,22.476992865718753
Laslo Djere,2023-wimbledon-1308,1,5,34,00:18:39,40,40,0,0,1,0,0,0,0,0,0,0,1,123.0,0,C,NCTL,ND,5.1786844170449555,4.512284039128719,0.5102336530768726,0.0,0.5102336530768726,0.0,0.0,0.0,36.229293579146876
Laslo Djere,2023-wimbledon-1308,1,5,35,00:18:58,40,AD,0,0,1,0,0,0,0,0,0,0,1,113.0,0,C,NCTL,ND,4.660815975340461,5.061055635215848,0.4592102877691854,0.0,0.4592102877691854,0.0,0.0,0.0,33.60636422123219
Laslo Djere,2023-wimbledon-1308,1,6,36,00:21:01,0,0,1,1,0,1,0,0,0,0,0,0,3,103.0,0,W,NCTL,ND,4.194734377806414,5.554950071694264,0.4132892589922669,0.0,0.4132892589922669,0.0,0.0,0.0,31.24572779910897
Laslo Djere,2023-wimbledon-1308,1,6,37,00:21:22,15,0,1,1,0,1,0,0,0,0,0,0,3,117.0,0,BC,NCTL,ND,4.775260940025773,4.999455064524836,0.37196033309304016,0.0,0.37196033309304016,0.0,0.0,0.0,31.121155019198074
Laslo Djere,2023-wimbledon-1308,1,6,38,00:21:43,30,0,1,1,0,1,0,0,0,0,0,0,7,113.0,0,B,NCTL,ND,5.297734846023196,4.499509558072353,0.33476429978373623,0.0,0.33476429978373623,0.0,0.0,0.0,31.009039517278264
Laslo Djere,2023-wimbledon-1308,1,6,39,00:22:11,40,0,1,1,0,1,1,0,1,0,0,0,1,85.0,0,W,NCTL,,5.767961361420877,4.049558602265117,0.30128786980536254,0.0,0.30128786980536254,0.0,0.0,0.0,34.90813556555044
Laslo Djere,2023-wimbledon-1308,1,7,40,00:22:50,0,0,0,0,1,0,0,0,0,0,0,0,5,126.0,0,C,NCTL,ND,6.191165225278789,3.644602742038606,1.2711590828248263,0.0,1.2711590828248263,0.0,0.0,0.0,32.4173220089954
Laslo Djere,2023-wimbledon-1308,1,7,41,00:23:15,0,15,0,0,1,0,0,0,0,0,0,0,3,128.0,0,BW,NCTL,ND,5.5720487027509105,4.280142467834745,1.1440431745423436,0.0,1.1440431745423436,0.0,0.0,0.0,34.17558980809586
Laslo Djere,2023-wimbledon-1308,1,7,42,00:23:35,0,30,0,0,1,0,0,0,0,0,0,0,1,128.0,0,C,NCTL,ND,5.014843832475819,4.852128221051271,1.0296388570881094,0.0,1.0296388570881094,0.0,0.0,0.0,33.75803082728628
Laslo Djere,2023-wimbledon-1308,1,7,43,00:23:54,0,40,0,0,1,0,0,0,0,0,0,0,1,124.0,0,W,CTL,,4.513359449228237,5.366915398946144,0.9266749713792986,0.0,0.9266749713792986,0.0,0.0,0.0,31.382227744557643
Laslo Djere,2023-wimbledon-1308,1,8,44,00:25:49,0,0,1,1,0,1,0,0,0,0,0,0,7,102.0,1,W,CTL,D,4.062023504305413,5.83022385905153,0.8340074742413686,0.0,0.8340074742413686,0.0,0.0,0.0,29.244004970101884
Laslo Djere,2023-wimbledon-1308,1,8,45,00:26:21,15,0,0,0,1,1,0,0,0,0,0,0,4,91.0,0,BW,NCTL,D,4.655821153874873,5.247201473146378,0.7506067268172318,0.0,0.7506067268172318,0.0,0.0,0.0,33.319604473091694
Laslo Djere,2023-wimbledon-1308,1,8,46,00:27:01,15,15,1,1,0,1,0,0,0,0,0,0,1,103.0,0,BW,NCTL,D,4.190239038487386,5.7224813258317395,0.6755460541355086,0.0,0.6755460541355086,0.0,0.0,0.0,33.98764402578253
Laslo Djere,2023-wimbledon-1308,1,8,47,00:27:46,30,15,0,0,1,1,0,0,0,0,0,0,10,93.0,0,BW,NCTL,D,4.771215134638647,5.150233193248566,0.6079914487219578,0.0,0.6079914487219578,0.0,0.0,0.0,31.58887962320427
Laslo Djere,2023-wimbledon-1308,1,8,48,00:28:39,30,30,0,0,1,1,0,0,0,0,0,0,10,98.0,0,C,NCTL,ND,4.294093621174783,5.635209873923709,0.547192303849762,0.0,0.547192303849762,0.0,0.0,0.0,38.42999166088384
Laslo Djere,2023-wimbledon-1308,1,8,49,00:29:31,30,40,1,1,0,1,0,0,0,0,0,0,7,122.0,0,W,CTL,ND,3.8646842590573045,6.071688886531339,0.49247307346478586,0.0,0.49247307346478586,0.0,0.0,0.0,44.58699249479546
Laslo Djere,2023-wimbledon-1308,1,8,50,00:30:11,40,40,1,1,0,1,0,0,0,0,0,0,1,124.0,0,C,NCTL,D,4.478215833151574,5.464519997878204,0.4432257661183073,0.0,0.4432257661183073,0.0,0.0,0.0,47.128293245315916
Laslo Djere,2023-wimbledon-1308,1,8,51,00:30:36,AD,40,1,1,0,1,1,0,1,0,0,0,1,114.0,0,C,NCTL,,5.030394249836417,4.918067998090384,0.3989031895064765,0.0,0.3989031895064765,0.0,0.0,0.0,43.415463920784326
