player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,if_end_game,if_end_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count,quality
Liam Broady,2023-wimbledon-1312,1,1,1,00:00:00,0,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,3,117.0,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Liam Broady,2023-wimbledon-1312,1,1,2,00:00:24,0,15,0,0,1,1,0,0,0.0,0.0,0,0,0,0,4,113.0,1,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Liam Broady,2023-wimbledon-1312,1,1,3,00:00:52,15,15,0,0,1,1,0,0,0.0,0.0,0,0,0,0,8,116.0,0,3,0,1,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0
Liam Broady,2023-wimbledon-1312,1,1,4,00:01:31,30,15,1,1,0,1,0,0,0.0,0.0,0,0,0,0,5,118.0,1,1,0,1,0.25,1.5,0.0,0.0,0.0,0.0,0.0,0.0,10.75,1.0
Liam Broady,2023-wimbledon-1312,1,1,5,00:02:03,30,30,0,0,1,1,0,0,1.0,0.0,0,0,0,0,4,97.0,0,3,1,1,1.125,0.75,0.0,0.0,0.0,0.0,0.0,0.0,10.375,0.0
Liam Broady,2023-wimbledon-1312,1,1,6,00:02:57,40,30,0,0,1,1,0,0,0.0,0.0,0,0,0,1,4,97.0,0,2,1,1,0.5625,1.375,0.0,0.0,0.0,0.0,0.0,0.0,9.1875,0.0
Liam Broady,2023-wimbledon-1312,1,2,7,00:04:14,0,0,1,1,0,0,0,0,0.0,0.0,0,0,0,0,4,112.0,0,3,1,0,0.28125,1.6875,0.0,0.0,0.0,0.0,0.0,1.0,8.59375,1.0
Liam Broady,2023-wimbledon-1312,1,2,8,00:05:07,0,15,1,1,0,0,0,0,0.0,0.0,0,0,0,0,2,116.0,0,2,1,1,1.140625,0.84375,0.0,0.0,0.0,0.0,0.0,0.5,8.296875,0.0
Liam Broady,2023-wimbledon-1312,1,2,9,00:05:46,0,30,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,118.0,0,4,0,0,1.5703125,0.421875,0.0,0.0,0.0,0.0,0.0,0.25,6.1484375,0.0
Liam Broady,2023-wimbledon-1312,1,2,10,00:06:11,15,30,0,0,1,0,0,0,0.0,0.0,0,0,0,0,3,114.0,0,0,1,2,0.78515625,1.2109375,0.0,0.0,0.0,0.0,0.0,0.125,4.07421875,0.0
Liam Broady,2023-wimbledon-1312,1,2,11,00:07:06,30,30,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,133.0,0,1,1,2,0.392578125,1.60546875,0.0,0.0,0.0,0.0,0.0,0.0625,5.037109375,1.0
Liam Broady,2023-wimbledon-1312,1,2,12,00:07:41,30,40,0,0,1,0,0,0,0.0,0.0,1,1,1,0,1,133.0,0,1,0,0,1.1962890625,0.802734375,0.0,0.0,0.0,0.0,0.0,0.03125,2.5185546875,0.0
Liam Broady,2023-wimbledon-1312,1,2,13,00:08:08,40,40,1,1,0,0,0,0,1.0,0.0,0,0,0,0,2,121.0,0,4,0,1,0.59814453125,1.4013671875,0.0,0.0,1.0,1.0,1.0,0.015625,2.25927734375,1.0
Liam Broady,2023-wimbledon-1312,1,2,14,00:08:40,40,AD,1,1,0,0,1,0,0.0,0.0,1,1,0,0,4,106.0,0,2,0,0,1.299072265625,0.70068359375,0.0,0.0,0.5,0.5,0.5,0.0078125,3.129638671875,1.0
Liam Broady,2023-wimbledon-1312,1,3,15,00:09:28,0,0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,0,100.0,0,4,0,2,1.6495361328125,0.350341796875,1.0,0.0,1.25,1.25,0.25,0.00390625,5.5648193359375,0.0
Liam Broady,2023-wimbledon-1312,1,3,16,00:09:56,15,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,95.0,0,1,1,1,0.82476806640625,1.1751708984375,0.5,0.0,0.625,0.625,0.125,0.001953125,2.78240966796875,0.0
Liam Broady,2023-wimbledon-1312,1,3,17,00:10:22,15,15,0,0,1,1,0,0,0.0,0.0,0,0,0,0,10,111.0,0,3,1,1,1.412384033203125,0.58758544921875,0.25,0.0,0.3125,0.3125,0.0625,0.0009765625,2.391204833984375,1.0
Liam Broady,2023-wimbledon-1312,1,3,18,00:11:02,30,15,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,117.0,0,3,1,1,0.7061920166015625,1.293792724609375,0.125,0.0,0.15625,0.15625,0.03125,0.00048828125,11.195602416992188,1.0
Liam Broady,2023-wimbledon-1312,1,3,19,00:11:25,30,30,0,0,1,1,0,0,1.0,0.0,0,0,0,0,12,89.0,0,4,0,0,1.3530960083007812,0.6468963623046875,0.0625,0.0,0.078125,0.078125,0.015625,0.000244140625,6.597801208496094,0.0
Liam Broady,2023-wimbledon-1312,1,3,20,00:12:27,40,30,0,0,1,1,0,0,0.0,0.0,0,0,0,1,2,91.0,0,2,1,0,0.6765480041503906,1.3234481811523438,0.03125,0.0,0.0390625,0.0390625,0.0078125,0.0001220703125,15.298900604248049,0.0
Liam Broady,2023-wimbledon-1312,1,4,21,00:14:40,0,0,1,1,0,0,0,0,0.0,0.0,0,0,0,0,12,122.0,0,3,1,0,0.3382740020751953,1.661724090576172,0.015625,0.0,0.01953125,0.01953125,0.00390625,1.00006103515625,9.649450302124023,1.0
Liam Broady,2023-wimbledon-1312,1,4,22,00:15:25,0,15,1,1,0,0,0,0,0.0,0.0,0,0,0,0,4,105.0,0,3,1,1,1.1691370010375977,0.8308620452880859,0.0078125,0.0,0.009765625,0.009765625,0.001953125,0.500030517578125,16.82472515106201,1.0
Liam Broady,2023-wimbledon-1312,1,4,23,00:16:08,0,30,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,115.0,0,4,0,1,1.5845685005187988,0.4154310226440429,0.00390625,0.0,0.0048828125,0.0048828125,0.0009765625,0.2500152587890625,12.412362575531006,0.0
Liam Broady,2023-wimbledon-1312,1,4,24,00:16:34,15,30,1,1,0,0,0,0,0.0,0.0,0,0,0,0,2,113.0,0,4,0,0,0.7922842502593994,1.2077155113220217,0.001953125,0.0,0.00244140625,0.00244140625,0.00048828125,0.1250076293945312,7.206181287765503,1.0
Liam Broady,2023-wimbledon-1312,1,4,25,00:17:40,15,40,0,0,1,0,0,0,0.0,0.0,1,1,1,0,5,97.0,0,0,1,1,1.3961421251296997,0.6038577556610107,0.0009765625,0.0,0.001220703125,0.001220703125,0.000244140625,0.0625038146972656,5.603090643882752,0.0
Liam Broady,2023-wimbledon-1312,1,4,26,00:18:26,30,40,0,0,1,0,0,0,0.0,0.0,1,1,1,0,1,109.0,0,4,0,0,0.6980710625648499,1.3019288778305054,0.00048828125,0.0,1.0006103515625,1.0006103515625,1.0001220703125,0.0312519073486328,7.801545321941376,0.0
Liam Broady,2023-wimbledon-1312,1,4,27,00:19:02,40,40,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,133.0,0,1,0,2,0.3490355312824249,1.650964438915253,0.000244140625,0.0,1.50030517578125,1.50030517578125,1.50006103515625,0.0156259536743164,4.900772660970688,1.0
Liam Broady,2023-wimbledon-1312,1,4,28,00:19:39,40,AD,0,0,1,0,0,0,0.0,0.0,1,1,1,0,3,110.0,0,2,1,1,1.1745177656412125,0.8254822194576263,0.0001220703125,0.0,0.750152587890625,0.750152587890625,0.750030517578125,0.0078129768371582,2.450386330485344,0.0
Liam Broady,2023-wimbledon-1312,1,4,29,00:20:19,40,40,1,1,0,0,0,0,0.0,0.0,0,0,0,0,2,121.0,0,3,1,1,0.5872588828206062,1.4127411097288132,6.103515625e-05,0.0,1.3750762939453125,1.3750762939453125,1.3750152587890625,0.0039064884185791,4.225193165242672,1.0
Liam Broady,2023-wimbledon-1312,1,4,30,00:20:47,40,AD,0,0,1,0,0,0,0.0,0.0,1,1,1,0,3,120.0,0,4,0,2,1.2936294414103031,0.7063705548644066,3.0517578125e-05,0.0,0.6875381469726562,0.6875381469726562,0.6875076293945312,0.0019532442092895,4.112596582621336,0.0
Liam Broady,2023-wimbledon-1312,1,4,31,00:21:18,40,40,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,116.0,0,3,1,2,0.6468147207051516,1.3531852774322033,1.52587890625e-05,0.0,1.343769073486328,1.343769073486328,1.3437538146972656,0.0009766221046447,5.056298291310668,0.5
Liam Broady,2023-wimbledon-1312,1,4,32,00:21:55,40,AD,0,0,1,0,0,0,0.0,0.0,1,1,1,0,7,117.0,0,3,1,1,1.3234073603525758,0.6765926387161016,7.62939453125e-06,0.0,0.6718845367431641,0.6718845367431641,0.6718769073486328,0.0004883110523223,2.528149145655334,0.5
Liam Broady,2023-wimbledon-1312,1,4,33,00:22:42,40,40,0,0,1,0,0,0,1.0,0.0,0,0,0,0,1,109.0,0,1,1,1,0.6617036801762879,1.3382963193580508,3.814697265625e-06,0.0,1.335942268371582,1.335942268371582,1.3359384536743164,0.0002441555261611,8.264074572827667,0.0
Liam Broady,2023-wimbledon-1312,1,4,34,00:23:18,AD,40,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,122.0,0,1,1,0,0.3308518400881439,1.6691481596790254,1.9073486328125e-06,0.0,0.667971134185791,0.667971134185791,0.6679692268371582,0.0001220777630805,5.1320372864138335,1.0
Liam Broady,2023-wimbledon-1312,1,5,35,00:24:08,0,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,3,89.0,0,3,1,1,0.1654259200440719,1.8345740798395127,9.5367431640625e-07,0.0,0.3339855670928955,0.3339855670928955,0.3339846134185791,6.103888154029846e-05,3.5660186432069167,1.0
