player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count
Lorenzo Musetti,2023-wimbledon-1315,1,1,1,00:00:00,0,0,0,0,1,0,0,0,0,0,0,0,1,99.0,0,BC,NCTL,ND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lorenzo Musetti,2023-wimbledon-1315,1,1,2,00:00:25,0,15,0,0,1,0,0,0,0,0,0,0,1,126.0,0,C,NCTL,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Lorenzo Musetti,2023-wimbledon-1315,1,1,3,00:00:38,0,30,0,0,1,0,0,0,0,0,0,0,1,124.0,0,BC,CTL,,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.9
Lorenzo Musetti,2023-wimbledon-1315,1,1,4,00:00:53,0,40,0,0,1,0,0,0,0,0,0,0,1,98.0,0,B,NCTL,D,0.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,2.71
Lorenzo Musetti,2023-wimbledon-1315,1,2,5,00:02:03,0,0,0,0,1,1,0,0,0,0,0,0,0,110.0,0,BW,CTL,,0.0,3.439,0.0,0.0,0.0,0.0,0.0,0.0,3.439
Lorenzo Musetti,2023-wimbledon-1315,1,2,6,00:02:35,0,15,1,1,0,1,0,0,0,0,0,0,3,116.0,0,C,NCTL,ND,0.0,4.0951,0.0,0.0,0.0,0.0,0.0,0.0,3.0951
Lorenzo Musetti,2023-wimbledon-1315,1,2,7,00:03:16,15,15,1,1,0,1,0,0,0,0,0,0,1,88.0,0,BC,NCTL,ND,1.0,3.68559,0.0,0.0,0.0,0.0,0.0,0.0,5.78559
Lorenzo Musetti,2023-wimbledon-1315,1,2,8,00:03:51,30,15,1,1,0,1,0,0,0,0,0,0,7,96.0,0,BC,CTL,ND,1.9,3.317031,0.0,0.0,0.0,0.0,0.0,0.0,6.207031000000001
Lorenzo Musetti,2023-wimbledon-1315,1,2,9,00:04:40,40,15,0,0,1,1,0,0,1,0,0,0,6,83.0,0,B,NCTL,D,2.71,2.9853279000000006,0.0,0.0,0.0,0.0,0.0,0.0,12.5863279
Lorenzo Musetti,2023-wimbledon-1315,1,2,10,00:05:30,40,30,1,1,0,1,1,0,1,0,0,0,1,116.0,0,W,CTL,ND,2.439,3.68679511,0.0,0.0,1.0,0.0,0.0,0.0,17.32769511
Lorenzo Musetti,2023-wimbledon-1315,1,3,11,00:05:58,0,0,1,1,0,0,0,0,0,0,0,0,2,104.0,0,BW,NCTL,D,3.1951,3.3181155990000004,1.0,0.0,1.9,0.0,0.0,0.0,16.594925599
Lorenzo Musetti,2023-wimbledon-1315,1,3,12,00:06:15,15,0,0,0,1,0,0,0,0,0,0,0,1,120.0,0,C,CTL,,3.87559,2.9863040391000006,0.9,0.0,1.71,0.0,0.0,0.0,16.935433039100005
Lorenzo Musetti,2023-wimbledon-1315,1,3,13,00:06:30,15,15,0,0,1,0,0,0,0,0,0,0,1,129.0,0,C,NCTL,,3.488031,3.6876736351900004,0.81,0.0,1.5390000000000001,0.0,0.0,0.0,16.24188973519
Lorenzo Musetti,2023-wimbledon-1315,1,3,14,00:06:45,15,30,0,0,1,0,0,0,0,0,0,0,1,92.0,0,W,CTL,ND,3.1392279000000003,4.3189062716710005,0.7290000000000001,0.0,1.3851,0.0,0.0,0.0,15.617700761671005
Lorenzo Musetti,2023-wimbledon-1315,1,3,15,00:07:28,15,40,0,0,1,0,0,0,0,0,0,0,1,122.0,0,B,NCTL,D,2.8253051100000004,4.887015644503901,0.6561,0.0,1.24659,0.0,0.0,0.0,15.055930685503903
Lorenzo Musetti,2023-wimbledon-1315,1,4,16,00:09:04,0,0,1,1,0,1,0,0,0,0,0,0,1,115.0,0,C,NCTL,ND,2.5427745990000004,5.3983140800535105,0.5904900000000001,0.0,1.121931,0.0,0.0,0.0,14.550337616953513
Lorenzo Musetti,2023-wimbledon-1315,1,4,17,00:09:24,15,0,1,1,0,1,0,0,0,0,0,0,3,116.0,0,W,NCTL,ND,3.2884971391000004,4.85848267204816,0.531441,0.0,1.0097379000000002,0.0,0.0,0.0,14.095303855258162
Lorenzo Musetti,2023-wimbledon-1315,1,4,18,00:09:50,30,0,1,1,0,1,0,0,0,0,0,0,1,111.0,0,W,NCTL,ND,3.9596474251900005,4.372634404843344,0.4782969000000001,0.0,0.9087641100000001,0.0,0.0,0.0,15.685773469732345
Lorenzo Musetti,2023-wimbledon-1315,1,4,19,00:10:12,40,0,0,0,1,1,0,0,1,0,0,0,2,104.0,0,BC,NCTL,ND,4.563682682671001,3.9353709643590093,0.4304672100000001,0.0,0.8178876990000001,0.0,0.0,0.0,15.117196122759111
Lorenzo Musetti,2023-wimbledon-1315,1,4,20,00:10:37,40,15,1,1,0,1,1,0,1,0,0,0,13,124.0,1,C,NCTL,D,4.1073144144039,4.541833867923108,0.3874204890000001,0.0,1.7360989291000002,0.0,0.0,0.0,15.6054765104832
Lorenzo Musetti,2023-wimbledon-1315,1,5,21,00:11:28,0,0,0,0,1,0,0,0,0,0,0,0,5,113.0,0,W,CTL,ND,4.69658297296351,4.087650481130798,1.3486784401,0.0,2.56248903619,0.0,0.0,0.0,27.044928859434883
Lorenzo Musetti,2023-wimbledon-1315,1,5,22,00:11:51,0,15,1,1,0,0,0,0,0,0,0,0,4,106.0,1,BC,NCTL,D,4.22692467566716,4.678885433017719,1.21381059609,0.0,2.3062401325710002,0.0,0.0,0.0,29.340435973491395
Lorenzo Musetti,2023-wimbledon-1315,1,5,23,00:12:24,15,15,1,1,0,0,0,0,0,0,0,0,4,103.0,0,C,NCTL,ND,4.804232208100443,4.210996889715947,1.0924295364810002,0.0,2.0756161193139,0.0,0.0,0.0,30.406392376142257
Lorenzo Musetti,2023-wimbledon-1315,1,5,24,00:13:04,30,15,0,0,1,0,0,0,0,0,0,0,3,124.0,0,W,NCTL,ND,5.323808987290399,3.7898972007443517,0.9831865828329002,0.0,1.8680545073825103,0.0,0.0,0.0,31.36575313852803
Lorenzo Musetti,2023-wimbledon-1315,1,5,25,00:13:29,30,30,0,0,1,0,0,0,0,0,0,0,1,119.0,0,C,NCTL,ND,4.791428088561359,4.410907480669917,0.88486792454961,0.0,1.6812490566442593,0.0,0.0,0.0,31.229177824675226
Lorenzo Musetti,2023-wimbledon-1315,1,5,26,00:13:47,30,40,0,0,1,0,0,0,0,0,0,0,3,126.0,0,W,CTL,ND,4.312285279705224,4.969816732602926,0.7963811320946491,0.0,1.5131241509798332,0.0,0.0,0.0,29.10626004220771
Lorenzo Musetti,2023-wimbledon-1315,1,6,27,00:15:30,0,0,1,1,0,1,0,0,0,0,0,0,3,89.0,0,C,NCTL,ND,3.881056751734701,5.472835059342634,0.7167430188851842,0.0,1.36181173588185,0.0,0.0,0.0,29.195634037986935
Lorenzo Musetti,2023-wimbledon-1315,1,6,28,00:16:12,15,0,1,1,0,1,0,0,0,0,0,0,9,89.0,1,W,CTL,ND,4.492951076561232,4.92555155340837,0.6450687169966658,0.0,1.2256305622936652,0.0,0.0,0.0,29.27607063418824
Lorenzo Musetti,2023-wimbledon-1315,1,6,29,00:17:06,30,0,1,1,0,1,0,0,0,0,0,0,1,89.0,0,BC,NCTL,ND,5.043655968905108,4.432996398067533,0.5805618452969993,0.0,1.1030675060642987,0.0,0.0,0.0,35.34846357076941
Lorenzo Musetti,2023-wimbledon-1315,1,6,30,00:17:42,40,0,1,1,0,1,1,0,1,0,0,0,1,110.0,0,W,CTL,D,5.539290372014598,3.9896967582607794,0.5225056607672993,0.0,0.9927607554578688,0.0,0.0,0.0,32.81361721369248
Lorenzo Musetti,2023-wimbledon-1315,1,7,31,00:18:14,0,0,0,0,1,0,0,0,0,0,0,0,13,92.0,0,BC,NCTL,ND,5.985361334813138,3.5907270824347015,1.4702550946905695,0.0,1.893484679912082,0.0,0.0,0.0,30.53225549232323
Lorenzo Musetti,2023-wimbledon-1315,1,7,32,00:19:07,0,15,0,0,1,0,0,0,0,0,0,0,1,88.0,0,BW,NCTL,ND,5.386825201331824,4.231654374191232,1.3232295852215126,0.0,1.7041362119208738,0.0,0.0,0.0,40.47902994309091
Lorenzo Musetti,2023-wimbledon-1315,1,7,33,00:19:36,0,30,1,1,0,0,0,0,0,0,0,0,2,127.0,0,BC,NCTL,ND,4.848142681198642,4.808488936772108,1.1909066266993613,0.0,1.5337225907287864,0.0,0.0,0.0,37.431126948781824
