player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,if_end_game,if_end_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count,quality
Marton Fucsovics,2023-wimbledon-1305,1,1,1,00:00:00,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,3,123.0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marton Fucsovics,2023-wimbledon-1305,1,1,2,00:00:21,15,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,3,121.0,0,3,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Marton Fucsovics,2023-wimbledon-1305,1,1,3,00:00:41,30,0,1,1,0,0,0,0,0.0,0.0,0,0,0,0,2,88.0,0,1,1,0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1.0
Marton Fucsovics,2023-wimbledon-1305,1,1,4,00:01:11,30,15,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,90.0,0,2,1,0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,4.25,1.0
Marton Fucsovics,2023-wimbledon-1305,1,1,5,00:01:39,40,15,1,1,0,0,0,0,1.0,0.0,0,0,0,0,2,101.0,0,2,1,1,0.5,1.375,0.0,0.0,0.0,0.0,0.0,0.0,3.125,0.0
Marton Fucsovics,2023-wimbledon-1305,1,1,6,00:02:04,40,30,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,121.0,0,2,0,2,1.25,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,3.5625,1.0
Marton Fucsovics,2023-wimbledon-1305,1,2,7,00:03:07,0,0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,6,93.0,0,3,1,1,0.625,1.34375,0.0,0.0,0.0,0.0,0.0,0.0,2.78125,0.0
Marton Fucsovics,2023-wimbledon-1305,1,2,8,00:03:49,15,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,111.0,0,2,1,0,0.3125,1.671875,0.0,0.0,0.0,0.0,0.0,0.0,7.390625,1.0
Marton Fucsovics,2023-wimbledon-1305,1,2,9,00:04:30,15,15,0,0,1,1,0,0,0.0,0.0,0,0,0,0,10,118.0,0,2,1,1,1.15625,0.8359375,0.0,0.0,0.0,0.0,0.0,0.0,4.6953125,0.0
Marton Fucsovics,2023-wimbledon-1305,1,2,10,00:05:20,30,15,0,0,1,1,0,0,0.0,0.0,0,0,0,0,4,86.0,0,4,1,1,0.578125,1.41796875,0.0,0.0,0.0,0.0,0.0,0.0,12.34765625,0.0
Marton Fucsovics,2023-wimbledon-1305,1,2,11,00:06:07,40,15,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,105.0,0,4,0,0,0.2890625,1.708984375,0.0,0.0,0.0,0.0,0.0,0.0,10.173828125,1.0
Marton Fucsovics,2023-wimbledon-1305,1,2,12,00:06:37,40,30,1,1,0,1,0,0,0.0,0.0,0,0,0,0,3,88.0,1,4,0,2,1.14453125,0.8544921875,0.0,0.0,0.0,0.0,0.0,0.0,6.0869140625,1.0
Marton Fucsovics,2023-wimbledon-1305,1,2,13,00:07:16,40,40,1,1,0,1,0,0,1.0,0.0,0,0,0,0,15,97.0,0,2,1,0,1.572265625,0.42724609375,0.0,0.0,0.0,0.0,0.0,0.0,6.04345703125,0.0
Marton Fucsovics,2023-wimbledon-1305,1,2,14,00:08:24,40,AD,1,1,0,1,1,0,0.0,0.0,1,0,0,0,1,118.0,0,4,1,1,1.7861328125,0.213623046875,0.0,0.0,0.0,0.0,0.0,0.0,18.021728515625,1.0
Marton Fucsovics,2023-wimbledon-1305,1,3,15,00:08:58,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,123.0,0,3,0,1,1.89306640625,0.1068115234375,1.0,0.0,1.0,0.0,0.0,0.0,10.0108642578125,0.0
Marton Fucsovics,2023-wimbledon-1305,1,3,16,00:09:16,15,0,1,1,0,0,0,0,0.0,0.0,0,0,0,0,2,89.0,0,0,1,0,0.946533203125,1.05340576171875,0.5,0.0,0.5,0.0,0.0,0.0,6.00543212890625,1.0
Marton Fucsovics,2023-wimbledon-1305,1,3,17,00:09:42,15,15,1,1,0,0,0,0,0.0,0.0,0,0,0,0,2,104.0,0,2,1,0,1.4732666015625,0.526702880859375,0.25,0.0,0.25,0.0,0.0,0.0,5.002716064453125,1.0
Marton Fucsovics,2023-wimbledon-1305,1,3,18,00:10:08,15,30,1,1,0,0,0,0,0.0,0.0,0,0,0,0,2,89.0,0,2,1,1,1.73663330078125,0.2633514404296875,0.125,0.0,0.125,0.0,0.0,0.0,4.5013580322265625,1.0
Marton Fucsovics,2023-wimbledon-1305,1,3,19,00:10:40,15,40,0,0,1,0,0,0,1.0,0.0,1,1,1,0,7,95.0,1,0,1,1,1.868316650390625,0.1316757202148437,0.0625,0.0,0.0625,0.0,0.0,0.0,4.250679016113281,1.0
Marton Fucsovics,2023-wimbledon-1305,1,3,20,00:11:22,30,40,1,1,0,0,1,0,0.0,0.0,1,1,0,0,10,121.0,0,3,0,1,0.9341583251953124,1.065837860107422,0.03125,0.0,1.03125,1.0,1.0,0.0,9.12533950805664,1.0
Marton Fucsovics,2023-wimbledon-1305,1,4,21,00:13:26,0,0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,2,119.0,0,4,0,0,1.4670791625976562,0.5329189300537109,1.015625,0.0,1.515625,1.5,0.5,0.0,14.56266975402832,0.0
Marton Fucsovics,2023-wimbledon-1305,1,4,22,00:13:49,15,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,121.0,0,3,1,0,0.7335395812988281,1.2664594650268557,0.5078125,0.0,0.7578125,0.75,0.25,0.0,9.28133487701416,1.0
Marton Fucsovics,2023-wimbledon-1305,1,4,23,00:14:15,15,15,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,110.0,1,2,1,1,1.366769790649414,0.6332297325134277,0.25390625,0.0,0.37890625,0.375,0.125,0.0,5.64066743850708,1.0
Marton Fucsovics,2023-wimbledon-1305,1,4,24,00:14:43,15,30,1,1,0,1,0,0,1.0,0.0,0,0,0,0,1,84.0,0,4,0,0,1.683384895324707,0.3166148662567138,0.126953125,0.0,0.189453125,0.1875,0.0625,0.0,3.82033371925354,0.0
Marton Fucsovics,2023-wimbledon-1305,1,4,25,00:15:17,15,40,1,1,0,1,1,0,0.0,0.0,1,0,0,0,5,123.0,0,3,1,0,1.8416924476623533,0.1583074331283569,0.0634765625,0.0,0.0947265625,0.09375,0.03125,0.0,2.91016685962677,1.0
Marton Fucsovics,2023-wimbledon-1305,1,5,26,00:15:56,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,5,108.0,0,4,0,1,1.9208462238311768,0.0791537165641784,1.03173828125,0.0,1.04736328125,0.046875,0.015625,0.0,6.455083429813385,0.0
Marton Fucsovics,2023-wimbledon-1305,1,5,27,00:16:26,15,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,102.0,0,3,1,0,0.9604231119155884,1.0395768582820892,0.515869140625,0.0,0.523681640625,0.0234375,0.0078125,0.0,8.227541714906693,0.0
Marton Fucsovics,2023-wimbledon-1305,1,5,28,00:16:50,30,0,1,1,0,0,0,0,0.0,0.0,0,0,0,0,2,107.0,0,4,0,1,0.4802115559577942,1.5197884291410446,0.2579345703125,0.0,0.2618408203125,0.01171875,0.00390625,0.0,5.113770857453346,1.0
Marton Fucsovics,2023-wimbledon-1305,1,5,29,00:17:07,30,15,0,0,1,0,0,0,0.0,0.0,0,0,0,0,19,125.0,0,3,1,1,1.240105777978897,0.7598942145705223,0.12896728515625,0.0,0.13092041015625,0.005859375,0.001953125,0.0,4.556885428726673,1.0
Marton Fucsovics,2023-wimbledon-1305,1,5,30,00:18:03,40,15,1,1,0,0,0,0,0.0,0.0,0,0,0,0,6,94.0,0,3,1,1,0.6200528889894485,1.3799471072852612,0.064483642578125,0.0,0.065460205078125,0.0029296875,0.0009765625,0.0,21.278442714363337,0.0
Marton Fucsovics,2023-wimbledon-1305,1,5,31,00:18:36,40,30,1,1,0,0,0,0,0.0,0.0,0,0,0,0,2,116.0,0,2,1,0,1.3100264444947245,0.6899735536426306,0.0322418212890625,0.0,0.0327301025390625,0.00146484375,0.00048828125,0.0,16.63922135718167,0.0
Marton Fucsovics,2023-wimbledon-1305,1,5,32,00:18:57,40,40,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,122.0,0,3,0,0,1.655013222247362,0.3449867768213153,0.0161209106445312,0.0,0.0163650512695312,0.000732421875,0.000244140625,0.0,10.319610678590834,1.0
Marton Fucsovics,2023-wimbledon-1305,1,5,33,00:19:12,AD,40,1,1,0,0,0,0,0.0,0.0,0,0,0,0,2,117.0,0,3,1,1,0.8275066111236811,1.1724933884106576,0.0080604553222656,0.0,0.0081825256347656,0.0003662109375,0.0001220703125,0.0,6.159805339295417,0.0
Marton Fucsovics,2023-wimbledon-1305,1,5,34,00:19:34,40,40,0,0,1,0,0,0,1.0,0.0,0,0,0,0,9,113.0,0,2,1,0,1.4137533055618403,0.5862466942053288,0.0040302276611328,0.0,0.0040912628173828,0.00018310546875,6.103515625e-05,0.0,5.0799026696477085,0.0
Marton Fucsovics,2023-wimbledon-1305,1,5,35,00:20:13,AD,40,0,0,1,0,0,0,0.0,0.0,0,0,0,0,3,122.0,0,4,0,1,0.7068766527809203,1.2931233471026644,0.0020151138305664,0.0,0.0020456314086914,9.1552734375e-05,3.0517578125e-05,0.0,11.539951334823854,1.0
Marton Fucsovics,2023-wimbledon-1305,1,6,36,00:22:12,0,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,5,110.0,1,4,0,2,0.3534383263904601,1.6465616735513322,0.0010075569152832,0.0,0.0010228157043457,4.57763671875e-05,1.52587890625e-05,0.0,8.769975667411927,1.0
Marton Fucsovics,2023-wimbledon-1305,1,6,37,00:22:44,0,15,0,0,1,1,0,0,0.0,0.0,0,0,0,0,4,123.0,0,3,1,0,1.17671916319523,0.8232808367756661,0.0005037784576416,0.0,0.0005114078521728,2.288818359375e-05,7.62939453125e-06,0.0,9.384987833705964,1.0
Marton Fucsovics,2023-wimbledon-1305,1,6,38,00:23:16,15,15,1,1,0,1,0,0,0.0,0.0,0,0,0,0,5,117.0,1,4,0,1,0.588359581597615,1.411640418387833,0.0002518892288208,0.0,0.0002557039260864,1.1444091796875e-05,3.814697265625e-06,0.0,8.692493916852982,0.0
Marton Fucsovics,2023-wimbledon-1305,1,6,39,00:23:52,15,30,0,0,1,1,0,0,0.0,0.0,0,0,0,0,6,88.0,0,0,1,1,1.2941797907988075,0.7058202091939165,0.0001259446144104,0.0,0.0001278519630432,5.7220458984375e-06,1.9073486328125e-06,0.0,9.346246958426493,1.0
