player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,if_end_game,if_end_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count,quality
Matteo Berrettini,2023-wimbledon-1302,1,1,1,00:00:00,0,0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,2,108.0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matteo Berrettini,2023-wimbledon-1302,1,1,2,00:00:36,15,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,124.0,0,3,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5
Matteo Berrettini,2023-wimbledon-1302,1,1,3,00:00:58,15,15,1,1,0,1,0,0,0.0,0.0,0,0,0,0,9,104.0,0,2,1,0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5
Matteo Berrettini,2023-wimbledon-1302,1,1,4,00:01:52,15,30,0,0,1,1,0,0,0.0,0.0,0,0,0,0,2,98.0,0,4,1,0,1.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Matteo Berrettini,2023-wimbledon-1302,1,1,5,00:02:32,30,30,0,0,1,1,0,0,0.0,0.0,0,0,0,0,0,129.0,0,5,2,1,0.75,1.125,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
Matteo Berrettini,2023-wimbledon-1302,1,1,6,00:03:12,40,30,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,125.0,0,3,1,1,0.375,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0
Matteo Berrettini,2023-wimbledon-1302,1,1,7,00:03:37,40,40,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,125.0,0,3,1,1,1.1875,0.78125,0.0,0.0,0.0,0.0,0.0,0.0,2.75,1.0
Matteo Berrettini,2023-wimbledon-1302,1,1,8,00:04:01,40,AD,0,0,1,1,0,0,0.0,0.0,1,0,0,0,4,106.0,0,0,1,0,1.59375,0.390625,0.0,0.0,0.0,0.0,0.0,0.0,2.375,0.0
Matteo Berrettini,2023-wimbledon-1302,1,1,9,00:04:45,40,40,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,117.0,0,4,1,0,0.796875,1.1953125,0.0,0.0,1.0,0.0,0.0,0.0,5.1875,1.0
Matteo Berrettini,2023-wimbledon-1302,1,1,10,00:05:08,40,AD,0,0,1,1,0,0,0.0,0.0,1,0,0,0,4,124.0,0,3,1,0,1.3984375,0.59765625,0.0,0.0,0.5,0.0,0.0,0.0,3.59375,0.0
Matteo Berrettini,2023-wimbledon-1302,1,1,11,00:05:42,40,40,1,1,0,1,0,0,1.0,0.0,0,0,0,0,1,132.0,0,3,0,2,0.69921875,1.298828125,0.0,0.0,1.25,0.0,0.0,0.0,5.796875,1.0
Matteo Berrettini,2023-wimbledon-1302,1,1,12,00:06:07,40,AD,1,1,0,1,1,0,0.0,0.0,1,0,0,0,3,100.0,0,1,1,0,1.349609375,0.6494140625,0.0,0.0,0.625,0.0,0.0,0.0,3.8984375,1.0
Matteo Berrettini,2023-wimbledon-1302,1,2,13,00:07:26,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,3,137.0,0,3,1,1,1.6748046875,0.32470703125,1.0,0.0,1.3125,0.0,0.0,0.0,4.94921875,0.0
Matteo Berrettini,2023-wimbledon-1302,1,2,14,00:07:52,15,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,3,97.0,0,4,0,1,0.83740234375,1.162353515625,0.5,0.0,0.65625,0.0,0.0,0.0,5.474609375,0.0
Matteo Berrettini,2023-wimbledon-1302,1,2,15,00:08:33,30,0,0,0,1,0,0,0,1.0,0.0,0,0,0,0,3,129.0,0,2,1,1,0.418701171875,1.5811767578125,0.25,0.0,0.328125,0.0,0.0,0.0,5.7373046875,0.0
Matteo Berrettini,2023-wimbledon-1302,1,2,16,00:09:00,40,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,131.0,0,1,0,0,0.2093505859375,1.79058837890625,0.125,0.0,0.1640625,0.0,0.0,0.0,5.86865234375,0.0
