player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,if_end_game,if_end_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count,quality
Maximilian Marterer,2023-wimbledon-1314,1,1,1,00:00:00,0,0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,4,129.0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maximilian Marterer,2023-wimbledon-1314,1,1,2,00:00:25,15,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,3,125.0,1,4,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
Maximilian Marterer,2023-wimbledon-1314,1,1,3,00:00:49,15,15,1,1,0,1,0,0,0.0,0.0,0,0,0,0,5,108.0,1,1,1,1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
Maximilian Marterer,2023-wimbledon-1314,1,1,4,00:01:28,15,30,1,1,0,1,0,0,1.0,0.0,0,0,0,0,3,103.0,0,1,0,1,1.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,7.5,1.0
Maximilian Marterer,2023-wimbledon-1314,1,1,5,00:02:03,15,40,1,1,0,1,1,0,0.0,0.0,1,0,0,0,1,121.0,0,1,1,0,1.75,0.125,0.0,0.0,0.0,0.0,0.0,0.0,6.75,1.0
Maximilian Marterer,2023-wimbledon-1314,1,2,6,00:03:30,0,0,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,99.0,0,0,0,2,1.875,0.0625,1.0,0.0,1.0,0.0,0.0,0.0,4.375,1.0
Maximilian Marterer,2023-wimbledon-1314,1,2,7,00:03:57,0,15,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,134.0,0,3,1,0,1.9375,0.03125,0.5,0.0,0.5,0.0,0.0,0.0,2.1875,0.0
Maximilian Marterer,2023-wimbledon-1314,1,2,8,00:04:15,15,15,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,114.0,0,1,0,1,0.96875,1.015625,0.25,0.0,0.25,0.0,0.0,0.0,2.09375,0.0
Maximilian Marterer,2023-wimbledon-1314,1,2,9,00:04:41,30,15,0,0,1,0,0,0,1.0,0.0,0,0,0,0,1,115.0,0,1,1,0,0.484375,1.5078125,0.125,0.0,0.125,0.0,0.0,0.0,2.046875,0.0
Maximilian Marterer,2023-wimbledon-1314,1,2,10,00:05:20,40,15,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,128.0,0,3,1,2,0.2421875,1.75390625,0.0625,0.0,0.0625,0.0,0.0,0.0,2.0234375,0.0
Maximilian Marterer,2023-wimbledon-1314,1,3,11,00:05:51,0,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,3,111.0,0,1,1,1,0.12109375,1.876953125,0.03125,0.0,0.03125,0.0,0.0,0.0,2.01171875,1.0
Maximilian Marterer,2023-wimbledon-1314,1,3,12,00:06:22,0,15,0,0,1,1,0,0,0.0,0.0,0,0,0,0,4,108.0,1,0,1,1,1.060546875,0.9384765625,0.015625,0.0,0.015625,0.0,0.0,0.0,4.005859375,1.0
Maximilian Marterer,2023-wimbledon-1314,1,3,13,00:07:01,15,15,0,0,1,1,0,0,0.0,0.0,0,0,0,0,2,102.0,0,1,1,1,0.5302734375,1.46923828125,0.0078125,0.0,0.0078125,0.0,0.0,0.0,6.0029296875,1.0
Maximilian Marterer,2023-wimbledon-1314,1,3,14,00:07:39,30,15,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,122.0,0,4,0,0,0.26513671875,1.734619140625,0.00390625,0.0,0.00390625,0.0,0.0,0.0,5.00146484375,1.0
Maximilian Marterer,2023-wimbledon-1314,1,3,15,00:08:00,30,30,0,0,1,1,0,0,1.0,0.0,0,0,0,0,2,107.0,0,0,1,1,1.132568359375,0.8673095703125,0.001953125,0.0,0.001953125,0.0,0.0,0.0,3.500732421875,0.0
Maximilian Marterer,2023-wimbledon-1314,1,3,16,00:08:35,40,30,0,0,1,1,0,0,0.0,0.0,0,0,0,1,4,126.0,1,3,0,1,0.5662841796875,1.43365478515625,0.0009765625,0.0,0.0009765625,0.0,0.0,0.0,3.7503662109375,1.0
Maximilian Marterer,2023-wimbledon-1314,1,4,17,00:10:11,0,0,1,1,0,0,0,0,0.0,0.0,0,0,0,0,4,101.0,0,2,1,0,0.28314208984375,1.716827392578125,0.00048828125,0.0,0.00048828125,0.0,0.0,1.0,5.87518310546875,1.0
Maximilian Marterer,2023-wimbledon-1314,1,4,18,00:10:46,0,15,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,133.0,0,2,1,1,1.141571044921875,0.8584136962890625,0.000244140625,0.0,0.000244140625,0.0,0.0,0.5,6.937591552734375,0.0
Maximilian Marterer,2023-wimbledon-1314,1,4,19,00:11:07,15,15,0,0,1,0,0,0,0.0,0.0,0,0,0,0,3,127.0,0,2,0,1,0.5707855224609375,1.4292068481445312,0.0001220703125,0.0,0.0001220703125,0.0,0.0,0.25,4.468795776367188,0.0
Maximilian Marterer,2023-wimbledon-1314,1,4,20,00:11:32,30,15,1,1,0,0,0,0,0.0,0.0,0,0,0,0,2,124.0,0,3,1,1,0.2853927612304687,1.7146034240722656,6.103515625e-05,0.0,6.103515625e-05,0.0,0.0,0.125,5.234397888183594,0.0
Maximilian Marterer,2023-wimbledon-1314,1,4,21,00:11:59,30,30,0,0,1,0,0,0,1.0,0.0,0,0,0,0,3,123.0,0,4,0,0,1.1426963806152344,0.8573017120361328,3.0517578125e-05,0.0,3.0517578125e-05,0.0,0.0,0.0625,4.617198944091797,0.6666666666666666
Maximilian Marterer,2023-wimbledon-1314,1,4,22,00:12:29,40,30,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,85.0,0,3,1,0,0.5713481903076172,1.4286508560180664,1.52587890625e-05,0.0,1.52587890625e-05,0.0,0.0,0.03125,5.308599472045898,0.0
Maximilian Marterer,2023-wimbledon-1314,1,5,23,00:13:18,0,0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,2,128.0,0,3,1,1,0.2856740951538086,1.7143254280090332,7.62939453125e-06,0.0,7.62939453125e-06,0.0,0.0,0.015625,3.654299736022949,0.0
Maximilian Marterer,2023-wimbledon-1314,1,5,24,00:13:38,15,0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,4,106.0,0,0,1,1,0.1428370475769043,1.8571627140045168,3.814697265625e-06,0.0,3.814697265625e-06,0.0,0.0,0.0078125,3.8271498680114746,0.0
Maximilian Marterer,2023-wimbledon-1314,1,5,25,00:14:19,30,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,9,121.0,1,3,1,1,0.0714185237884521,1.9285813570022583,1.9073486328125e-06,0.0,1.9073486328125e-06,0.0,0.0,0.00390625,5.913574934005737,0.0
Maximilian Marterer,2023-wimbledon-1314,1,5,26,00:14:55,30,15,1,1,0,1,0,0,0.0,0.0,0,0,0,0,3,117.0,1,3,1,1,1.035709261894226,0.9642906785011292,9.5367431640625e-07,0.0,9.5367431640625e-07,0.0,0.0,0.001953125,11.956787467002869,0.0
Maximilian Marterer,2023-wimbledon-1314,1,5,27,00:15:19,30,30,1,1,0,1,0,0,1.0,0.0,0,0,0,0,1,121.0,0,4,0,0,1.517854630947113,0.4821453392505646,4.76837158203125e-07,0.0,4.76837158203125e-07,0.0,0.0,0.0009765625,8.978393733501434,0.0
Maximilian Marterer,2023-wimbledon-1314,1,5,28,00:15:40,30,40,1,1,0,1,1,0,0.0,0.0,1,0,0,0,3,122.0,0,4,0,1,1.7589273154735563,0.2410726696252823,2.384185791015625e-07,0.0,2.384185791015625e-07,0.0,0.0,0.00048828125,5.489196866750717,1.0
Maximilian Marterer,2023-wimbledon-1314,1,6,29,00:17:18,0,0,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,132.0,0,1,0,2,1.8794636577367785,0.1205363348126411,1.0000001192092896,0.0,1.0000001192092896,0.0,0.0,0.000244140625,5.744598433375359,1.0
Maximilian Marterer,2023-wimbledon-1314,1,6,30,00:17:43,0,15,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,138.0,0,3,0,2,1.939731828868389,0.0602681674063205,0.5000000596046448,0.0,0.5000000596046448,0.0,0.0,0.0001220703125,2.8722992166876797,0.0
Maximilian Marterer,2023-wimbledon-1314,1,6,31,00:18:14,0,30,0,0,1,0,0,0,0.0,0.0,0,0,0,0,5,103.0,1,1,0,1,1.9698659144341943,0.0301340837031602,0.2500000298023224,0.0,0.2500000298023224,0.0,0.0,6.103515625e-05,1.4361496083438396,0.0
Maximilian Marterer,2023-wimbledon-1314,1,6,32,00:18:55,15,30,1,1,0,0,0,0,0.0,0.0,0,0,0,0,6,101.0,1,1,1,1,0.9849329572170972,1.01506704185158,0.1250000149011612,0.0,0.1250000149011612,0.0,0.0,3.0517578125e-05,5.71807480417192,0.0
Maximilian Marterer,2023-wimbledon-1314,1,6,33,00:19:44,15,40,0,0,1,0,0,0,0.0,0.0,1,1,1,0,1,123.0,0,2,0,2,1.4924664786085486,0.5075335209257901,0.0625000074505806,0.0,0.0625000074505806,0.0,0.0,1.52587890625e-05,8.85903740208596,0.0
Maximilian Marterer,2023-wimbledon-1314,1,6,34,00:20:16,30,40,0,0,1,0,0,0,0.0,0.0,1,1,1,0,1,127.0,0,4,0,0,0.7462332393042743,1.253766760462895,0.0312500037252903,0.0,1.0312500037252903,1.0,1.0,7.62939453125e-06,5.42951870104298,1.0
Maximilian Marterer,2023-wimbledon-1314,1,6,35,00:20:44,40,40,0,0,1,0,0,0,1.0,0.0,0,0,0,0,1,125.0,0,3,1,2,0.3731166196521371,1.6268833802314475,0.0156250018626451,0.0,1.5156250018626451,1.5,1.5,3.814697265625e-06,3.71475935052149,1.0
Maximilian Marterer,2023-wimbledon-1314,1,6,36,00:21:23,AD,40,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,133.0,0,4,0,0,0.1865583098260685,1.813441690115724,0.0078125009313225,0.0,0.7578125009313226,0.75,0.75,1.9073486328125e-06,2.857379675260745,1.0
Maximilian Marterer,2023-wimbledon-1314,1,7,37,00:21:53,0,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,3,125.0,0,3,1,0,0.0932791549130342,1.9067208450578617,0.0039062504656612,0.0,0.3789062504656613,0.375,0.375,9.5367431640625e-07,2.4286898376303725,0.0
Maximilian Marterer,2023-wimbledon-1314,1,7,38,00:22:16,0,15,1,1,0,1,0,0,0.0,0.0,0,0,0,0,3,118.0,0,4,0,0,1.0466395774565171,0.9533604225289308,0.0019531252328306,0.0,0.1894531252328306,0.1875,0.1875,4.76837158203125e-07,4.214344918815186,0.0
Maximilian Marterer,2023-wimbledon-1314,1,7,39,00:22:38,0,30,0,0,1,1,0,0,0.0,0.0,0,0,0,0,4,100.0,1,0,0,0,1.5233197887282586,0.4766802112644654,0.0009765626164153,0.0,0.0947265626164153,0.09375,0.09375,2.384185791015625e-07,5.107172459407593,0.0
Maximilian Marterer,2023-wimbledon-1314,1,7,40,00:23:21,15,30,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,117.0,0,0,1,1,0.7616598943641293,1.2383401056322327,0.0004882813082076,0.0,0.0473632813082076,0.046875,0.046875,1.1920928955078125e-07,6.553586229703797,1.0
Maximilian Marterer,2023-wimbledon-1314,1,7,41,00:23:40,15,40,0,0,1,1,0,0,1.0,0.0,1,0,0,0,4,107.0,1,0,1,1,1.3808299471820646,0.6191700528161164,0.0002441406541038,0.0,0.0236816406541038,0.0234375,0.0234375,5.960464477539064e-08,4.276793114851898,0.0
Maximilian Marterer,2023-wimbledon-1314,1,7,42,00:24:25,30,40,1,1,0,1,1,0,0.0,0.0,1,0,0,0,1,124.0,0,4,0,2,0.6904149735910323,1.3095850264080582,0.0001220703270519,0.0,1.011840820327052,0.01171875,0.01171875,2.9802322387695312e-08,6.138396557425949,1.0
Maximilian Marterer,2023-wimbledon-1314,1,8,43,00:26:00,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,122.0,0,4,1,1,1.3452074867955162,0.6547925132040291,1.000061035163526,0.0,1.505920410163526,0.005859375,0.005859375,1.4901161193847656e-08,4.069198278712975,0.0
Maximilian Marterer,2023-wimbledon-1314,1,8,44,00:26:25,15,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,126.0,0,5,2,2,0.6726037433977581,1.3273962566020143,0.500030517581763,0.0,0.752960205081763,0.0029296875,0.0029296875,7.450580596923828e-09,3.0345991393564877,1.0
Maximilian Marterer,2023-wimbledon-1314,1,8,45,00:26:43,30,0,1,1,0,0,0,0,0.0,0.0,0,0,0,0,4,107.0,0,2,1,1,0.336301871698879,1.6636981283010073,0.2500152587908815,0.0,0.3764801025408815,0.00146484375,0.00146484375,3.725290298461914e-09,2.517299569678244,0.0
Maximilian Marterer,2023-wimbledon-1314,1,8,46,00:27:21,30,15,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,132.0,0,1,0,2,1.1681509358494395,0.8318490641505036,0.1250076293954407,0.0,0.1882400512704407,0.000732421875,0.000732421875,1.862645149230957e-09,5.258649784839122,1.0
Maximilian Marterer,2023-wimbledon-1314,1,8,47,00:28:02,30,30,0,0,1,0,0,0,0.0,0.0,0,0,0,0,3,124.0,0,2,1,2,1.5840754679247198,0.4159245320752518,0.0625038146977203,0.0,0.0941200256352203,0.0003662109375,0.0003662109375,9.313225746154783e-10,2.629324892419561,0.0
Maximilian Marterer,2023-wimbledon-1314,1,8,48,00:28:37,40,30,1,1,0,0,0,0,0.0,0.0,0,0,0,0,2,107.0,0,0,1,1,0.7920377339623599,1.207962266037626,0.0312519073488601,0.0,0.0470600128176101,0.00018310546875,0.00018310546875,4.656612873077393e-10,4.3146624462097805,1.0
Maximilian Marterer,2023-wimbledon-1314,1,8,49,00:29:08,40,40,1,1,0,0,0,0,0.0,0.0,0,0,0,0,2,129.0,0,4,1,2,1.39601886698118,0.603981133018813,0.01562595367443,0.0,0.023530006408805,9.1552734375e-05,9.1552734375e-05,2.3283064365386963e-10,4.15733122310489,1.0
Maximilian Marterer,2023-wimbledon-1314,1,8,50,00:29:35,40,AD,0,0,1,0,0,0,0.0,0.0,1,1,1,0,3,130.0,0,1,1,0,1.69800943349059,0.3019905665094065,0.007812976837215,0.0,0.0117650032044025,4.57763671875e-05,4.57763671875e-05,1.1641532182693479e-10,4.078665611552445,0.0
Maximilian Marterer,2023-wimbledon-1314,1,8,51,00:30:03,40,40,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,132.0,0,1,0,1,0.849004716745295,1.1509952832547032,0.0039064884186075,0.0,1.0058825016022013,1.0000228881835938,1.0000228881835938,5.820766091346741e-11,5.039332805776223,1.0
Maximilian Marterer,2023-wimbledon-1314,1,8,52,00:30:38,40,AD,0,0,1,0,0,0,0.0,0.0,1,1,1,0,3,109.0,0,3,1,1,1.4245023583726475,0.5754976416273516,0.0019532442093037,0.0,0.5029412508011006,0.5000114440917969,0.5000114440917969,2.9103830456733704e-11,2.5196664028881117,1.0
Maximilian Marterer,2023-wimbledon-1314,1,8,53,00:31:14,40,40,0,0,1,0,0,0,1.0,0.0,0,0,0,0,1,118.0,0,3,1,2,0.7122511791863237,1.2877488208136758,0.0009766221046518,0.0,1.2514706254005503,1.2500057220458984,1.2500057220458984,1.4551915228366852e-11,4.259833201444056,1.0
Maximilian Marterer,2023-wimbledon-1314,1,8,54,00:31:41,AD,40,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,102.0,0,4,0,1,0.3561255895931619,1.643874410406838,0.0004883110523259,0.0,0.6257353127002752,0.6250028610229492,0.6250028610229492,7.275957614183426e-12,3.129916600722028,1.0
Maximilian Marterer,2023-wimbledon-1314,1,9,55,00:32:25,0,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,3,119.0,0,1,1,1,0.1780627947965809,1.8219372052034188,0.0002441555261629,0.0,0.3128676563501376,0.3125014305114746,0.3125014305114746,3.637978807091713e-12,2.564958300361014,1.0
Maximilian Marterer,2023-wimbledon-1314,1,9,56,00:32:44,0,15,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,121.0,0,3,0,2,1.0890313973982906,0.9109686026017094,0.0001220777630814,0.0,0.1564338281750688,0.1562507152557373,0.1562507152557373,1.8189894035458565e-12,4.282479150180507,1.0
Maximilian Marterer,2023-wimbledon-1314,1,9,57,00:33:01,0,30,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,124.0,0,4,0,1,1.5445156986991453,0.4554843013008547,6.103888154074255e-05,0.0,0.0782169140875344,0.0781253576278686,0.0781253576278686,9.094947017729282e-13,3.1412395750902533,1.0
Maximilian Marterer,2023-wimbledon-1314,1,9,58,00:33:18,0,40,0,0,1,1,0,0,1.0,0.0,1,0,0,0,2,122.0,0,1,1,0,1.7722578493495726,0.2277421506504273,3.051944077037128e-05,0.0,0.0391084570437672,0.0390626788139343,0.0390626788139343,4.547473508864641e-13,2.5706197875451267,0.0
Maximilian Marterer,2023-wimbledon-1314,1,9,59,00:33:49,15,40,1,1,0,1,1,0,0.0,0.0,1,0,0,0,3,124.0,1,4,0,1,0.8861289246747863,1.1138710753252137,1.5259720385185638e-05,0.0,1.0195542285218837,0.0195313394069671,0.0195313394069671,2.273736754432321e-13,3.2853098937725638,1.0
Maximilian Marterer,2023-wimbledon-1314,1,10,60,00:35:16,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,123.0,0,2,1,0,1.4430644623373932,0.5569355376626068,1.0000076298601923,0.0,1.5097771142609415,0.0097656697034835,0.0097656697034835,1.1368683772161605e-13,4.642654946886282,1.0
