player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,if_end_game,if_end_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count,quality
Mikael Ymer,2023-wimbledon-1310,1,1,1,00:00:00,0,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,0,113.0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Mikael Ymer,2023-wimbledon-1310,1,1,2,00:00:35,0,15,0,0,1,1,0,0,0.0,0.0,0,0,0,0,0,117.0,0,0,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikael Ymer,2023-wimbledon-1310,1,1,3,00:01:00,15,15,1,1,0,1,0,0,0.0,0.0,0,0,0,0,0,128.0,0,2,1,1,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888
Mikael Ymer,2023-wimbledon-1310,1,1,4,00:01:37,15,30,0,0,1,1,0,0,0.0,0.0,0,0,0,0,0,128.0,1,2,1,1,1.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888
Mikael Ymer,2023-wimbledon-1310,1,1,5,00:02:05,30,30,0,0,1,1,0,0,0.0,0.0,0,0,0,0,0,116.0,0,3,1,0,0.625,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikael Ymer,2023-wimbledon-1310,1,1,6,00:02:34,40,30,1,1,0,1,0,0,0.0,0.0,0,0,0,0,0,128.0,0,2,1,1,0.3125,1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888
Mikael Ymer,2023-wimbledon-1310,1,1,7,00:03:23,40,40,1,1,0,1,0,0,0.0,0.0,0,0,0,0,0,132.0,0,3,0,0,1.15625,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
Mikael Ymer,2023-wimbledon-1310,1,1,8,00:03:45,40,AD,0,0,1,1,0,0,0.0,0.0,1,0,0,0,0,132.0,0,3,0,0,1.578125,0.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
Mikael Ymer,2023-wimbledon-1310,1,1,9,00:04:08,40,40,1,1,0,1,0,0,0.0,0.0,0,0,0,0,0,108.0,0,1,1,1,0.7890625,1.203125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5
Mikael Ymer,2023-wimbledon-1310,1,1,10,00:04:56,40,AD,0,0,1,1,0,0,0.0,0.0,1,0,0,0,0,117.0,0,0,1,1,1.39453125,0.6015625,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6666666666666666
