player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count
Quentin Halys,2023-wimbledon-1309,1,1,1,00:00:00,0,0,0,0,1,1,0,0,0,0,0,0,8,104.0,0,B,NCTL,ND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quentin Halys,2023-wimbledon-1309,1,1,2,00:00:41,15,0,1,1,0,1,0,0,0,0,0,0,1,110.0,0,B,CTL,ND,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Quentin Halys,2023-wimbledon-1309,1,1,3,00:01:15,15,15,1,1,0,1,0,0,0,0,0,0,1,111.0,0,W,NCTL,ND,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,8.2
Quentin Halys,2023-wimbledon-1309,1,1,4,00:01:36,15,30,0,0,1,1,0,0,0,0,0,0,0,123.0,0,BW,CTL,ND,1.9,0.81,0.0,0.0,0.0,0.0,0.0,0.0,8.38
Quentin Halys,2023-wimbledon-1309,1,1,5,00:02:06,30,30,1,1,0,1,0,0,0,0,0,0,5,108.0,0,W,CTL,ND,1.71,1.729,0.0,0.0,0.0,0.0,0.0,0.0,7.542000000000002
Quentin Halys,2023-wimbledon-1309,1,1,6,00:02:38,30,40,1,1,0,1,1,0,1,0,0,0,5,103.0,0,W,NCTL,ND,2.539,1.5561,0.0,0.0,0.0,0.0,0.0,0.0,11.7878
Quentin Halys,2023-wimbledon-1309,1,2,7,00:03:55,0,0,0,0,1,0,0,0,0,0,0,0,1,105.0,0,B,CTL,ND,3.2851,1.40049,1.0,0.0,1.0,0.0,0.0,0.0,15.609020000000001
Quentin Halys,2023-wimbledon-1309,1,2,8,00:04:29,15,0,1,1,0,0,0,0,0,0,0,0,0,105.0,0,B,CTL,,2.95659,2.260441,0.9,0.0,0.9,0.0,0.0,0.0,15.048118000000002
Quentin Halys,2023-wimbledon-1309,1,2,9,00:05:00,15,15,0,0,1,0,0,0,0,0,0,0,1,115.0,0,W,NCTL,D,3.660931,2.0343969,0.81,0.0,0.81,0.0,0.0,0.0,13.5433062
Quentin Halys,2023-wimbledon-1309,1,2,10,00:05:29,30,15,0,0,1,0,0,0,0,0,0,0,1,99.0,0,B,NCTL,ND,3.2948379,2.8309572100000002,0.7290000000000001,0.0,0.7290000000000001,0.0,0.0,0.0,13.188975580000001
Quentin Halys,2023-wimbledon-1309,1,2,11,00:06:04,40,15,1,1,0,0,0,0,0,0,0,0,2,129.0,0,C,NCTL,ND,2.96535411,3.547861489,0.6561,0.0,0.6561,0.0,0.0,0.0,12.870078022000003
Quentin Halys,2023-wimbledon-1309,1,2,12,00:06:34,40,30,1,1,0,0,0,0,0,0,0,0,6,121.0,0,C,NCTL,D,3.668818699,3.1930753401,0.5904900000000001,0.0,0.5904900000000001,0.0,0.0,0.0,13.583070219800003
Quentin Halys,2023-wimbledon-1309,1,2,13,00:07:07,40,40,0,0,1,0,0,0,0,0,0,0,1,109.0,0,B,NCTL,D,4.301936829100001,2.8737678060900005,0.531441,0.0,0.531441,0.0,0.0,0.0,18.224763197820003
Quentin Halys,2023-wimbledon-1309,1,2,14,00:07:51,AD,40,1,1,0,0,0,0,0,0,0,0,0,95.0,0,BW,CTL,ND,3.8717431461900005,3.5863910254810003,0.4782969000000001,0.0,0.4782969000000001,0.0,0.0,0.0,17.402286878038005
Quentin Halys,2023-wimbledon-1309,1,2,15,00:08:25,40,40,0,0,1,0,0,0,0,0,0,0,1,120.0,0,BW,NCTL,D,4.484568831571,3.2277519229329004,0.4304672100000001,0.0,0.4304672100000001,0.0,0.0,0.0,15.662058190234204
Quentin Halys,2023-wimbledon-1309,1,2,16,00:08:50,AD,40,0,0,1,0,0,0,0,0,0,0,3,124.0,0,C,NCTL,ND,4.0361119484139,3.90497673063961,0.3874204890000001,0.0,0.3874204890000001,0.0,0.0,0.0,15.095852371210784
Quentin Halys,2023-wimbledon-1309,1,3,17,00:09:28,0,0,0,0,1,1,0,0,0,0,0,0,6,129.0,0,BC,NCTL,ND,3.632500753572511,4.51447905757565,0.3486784401000001,0.0,0.3486784401000001,0.0,0.0,0.0,16.586267134089706
Quentin Halys,2023-wimbledon-1309,1,3,18,00:10:04,15,0,0,0,1,1,0,0,0,0,0,0,0,124.0,0,BW,CTL,D,3.2692506782152595,5.063031151818084,0.31381059609000006,0.0,0.31381059609000006,0.0,0.0,0.0,20.927640420680735
Quentin Halys,2023-wimbledon-1309,1,3,19,00:11:09,30,0,1,1,0,1,0,0,0,0,0,0,3,114.0,0,BW,NCTL,ND,2.9423256103937336,5.556728036636277,0.2824295364810001,0.0,0.2824295364810001,0.0,0.0,0.0,18.834876378612663
Quentin Halys,2023-wimbledon-1309,1,3,20,00:11:44,30,15,1,1,0,1,0,0,0,0,0,0,1,126.0,0,C,CTL,,3.6480930493543604,5.001055232972648,0.2541865828329001,0.0,0.2541865828329001,0.0,0.0,0.0,19.951388740751394
Quentin Halys,2023-wimbledon-1309,1,3,21,00:12:06,30,30,0,0,1,1,0,0,0,0,0,0,2,105.0,0,C,NCTL,ND,4.283283744418924,4.500949709675384,0.2287679245496101,0.0,0.2287679245496101,0.0,0.0,0.0,18.956249866676256
Quentin Halys,2023-wimbledon-1309,1,3,22,00:13:26,40,30,1,1,0,1,0,0,0,0,0,0,1,129.0,0,W,NCTL,D,3.854955369977032,5.050854738707846,0.20589113209464907,0.0,0.20589113209464907,0.0,0.0,0.0,19.060624880008632
Quentin Halys,2023-wimbledon-1309,1,3,23,00:13:50,40,40,1,1,0,1,0,0,0,0,0,0,1,110.0,0,W,CTL,,4.469459832979329,4.545769264837061,0.18530201888518416,0.0,0.18530201888518416,0.0,0.0,0.0,18.15456239200777
Quentin Halys,2023-wimbledon-1309,1,3,24,00:14:09,40,AD,0,0,1,1,0,0,1,0,0,0,8,130.0,0,BW,NCTL,ND,5.022513849681396,4.0911923383533555,0.16677181699666577,0.0,0.16677181699666577,0.0,0.0,0.0,17.33910615280699
Quentin Halys,2023-wimbledon-1309,1,3,25,00:14:53,40,40,1,1,0,1,0,0,0,0,0,0,1,121.0,0,C,CTL,D,4.520262464713257,4.68207310451802,0.15009463529699918,0.0,1.1500946352969992,0.0,0.0,0.0,23.605195537526292
Quentin Halys,2023-wimbledon-1309,1,3,26,00:15:13,40,AD,1,1,0,1,1,0,1,0,0,0,3,124.0,0,BW,CTL,ND,5.068236218241931,4.213865794066217,0.13508517176729928,0.0,1.0350851717672993,0.0,0.0,0.0,22.244675983773664
Quentin Halys,2023-wimbledon-1309,1,4,27,00:16:58,0,0,1,1,0,0,0,0,0,0,0,0,4,116.0,0,W,CTL,D,5.561412596417738,3.7924792146595965,1.1215766545905694,0.0,1.9315766545905695,0.0,0.0,0.0,23.020208385396298
Quentin Halys,2023-wimbledon-1309,1,4,28,00:17:28,0,15,0,0,1,0,0,0,0,0,0,0,5,120.0,0,C,NCTL,D,6.005271336775965,3.413231293193637,1.0094189891315124,0.0,1.7384189891315125,0.0,0.0,0.0,24.71818754685667
Quentin Halys,2023-wimbledon-1309,1,4,29,00:18:02,15,15,1,1,0,0,0,0,0,0,0,0,4,124.0,0,BC,NCTL,ND,5.404744203098369,4.071908163874273,0.9084770902183612,0.0,1.564577090218361,0.0,0.0,0.0,27.246368792171
Quentin Halys,2023-wimbledon-1309,1,4,30,00:18:34,15,30,0,0,1,0,0,0,0,0,0,0,1,122.0,0,W,CTL,,5.864269782788531,3.6647173474868455,0.8176293811965252,0.0,1.4081193811965251,0.0,0.0,0.0,28.521731912953904
Quentin Halys,2023-wimbledon-1309,1,4,31,00:19:06,30,30,1,1,0,0,0,0,0,0,0,0,2,99.0,0,BW,NCTL,ND,5.277842804509678,4.298245612738162,0.7358664430768725,0.0,1.2673074430768727,0.0,0.0,0.0,26.669558721658518
Quentin Halys,2023-wimbledon-1309,1,4,32,00:20:00,30,40,1,1,0,0,1,0,1,1,0,0,2,122.0,0,W,CTL,ND,5.75005852405871,3.8684210514643453,0.6622797987691854,0.0,1.1405766987691854,0.0,0.0,0.0,26.00260284949266
Quentin Halys,2023-wimbledon-1309,1,5,33,00:20:37,0,0,0,0,1,1,0,0,0,0,0,0,2,109.0,0,BW,NCTL,ND,6.17505267165284,3.481578946317911,1.5960518188922668,0.0,2.0265190288922668,1.0,0.0,0.0,25.402342564543396
Quentin Halys,2023-wimbledon-1309,1,5,34,00:21:26,15,0,1,1,0,1,0,0,0,0,0,0,3,118.0,0,BC,NCTL,ND,5.557547404487556,4.13342105168612,1.4364466370030402,0.0,1.8238671260030404,0.9,0.0,0.0,24.862108308089056
