player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count
Tommy Paul,2023-wimbledon-1306,1,1,1,00:00:00,0,0,1,1,0,1,0,0,0,0,0,0,1,102.0,0,W,CTL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tommy Paul,2023-wimbledon-1306,1,1,2,00:00:35,0,15,1,1,0,1,0,0,0,0,0,0,3,125.0,1,W,NCTL,ND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tommy Paul,2023-wimbledon-1306,1,1,3,00:00:58,0,30,0,0,1,1,0,0,0,0,0,0,6,101.0,0,B,NCTL,D,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9
Tommy Paul,2023-wimbledon-1306,1,1,4,00:01:39,15,30,1,1,0,1,0,0,0,0,0,0,3,121.0,0,C,CTL,ND,1.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.51
Tommy Paul,2023-wimbledon-1306,1,1,5,00:02:03,15,40,1,1,0,1,1,0,1,0,0,0,1,126.0,0,C,CTL,,2.539,0.9,0.0,0.0,0.0,0.0,0.0,0.0,11.559000000000001
Tommy Paul,2023-wimbledon-1306,1,2,6,00:03:01,0,0,0,0,1,0,0,0,0,0,0,0,3,111.0,0,W,CTL,ND,3.2851,0.81,1.0,0.0,1.0,0.0,0.0,0.0,11.403100000000002
Tommy Paul,2023-wimbledon-1306,1,2,7,00:03:24,15,0,0,0,1,0,0,0,0,0,0,0,1,117.0,0,W,CTL,,2.95659,1.729,0.9,0.0,0.9,0.0,0.0,0.0,13.26279
Tommy Paul,2023-wimbledon-1306,1,2,8,00:03:43,30,0,0,0,1,0,0,0,0,0,0,0,1,129.0,0,C,NCTL,,2.660931,2.5561,0.81,0.0,0.81,0.0,0.0,0.0,12.936511000000003
Tommy Paul,2023-wimbledon-1306,1,2,9,00:04:01,40,0,1,1,0,0,0,0,0,0,0,0,4,103.0,0,C,NCTL,ND,2.3948379,3.30049,0.7290000000000001,0.0,0.7290000000000001,0.0,0.0,0.0,12.642859900000001
Tommy Paul,2023-wimbledon-1306,1,2,10,00:04:25,40,15,1,1,0,0,0,0,0,0,0,0,2,120.0,0,C,NCTL,ND,3.15535411,2.970441,0.6561,0.0,0.6561,0.0,0.0,0.0,15.378573910000002
Tommy Paul,2023-wimbledon-1306,1,2,11,00:04:45,40,30,0,0,1,0,0,0,0,0,0,0,1,108.0,0,B,NCTL,D,3.8398186990000003,2.6733969,0.5904900000000001,0.0,0.5904900000000001,0.0,0.0,0.0,15.840716518999999
Tommy Paul,2023-wimbledon-1306,1,3,12,00:05:28,0,0,1,1,0,1,0,0,0,0,0,0,3,124.0,1,C,NCTL,,3.4558368291000003,3.40605721,0.531441,0.0,0.531441,0.0,0.0,0.0,15.256644867100002
