player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,if_end_game,if_end_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,1,1,00:00:00,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,86.0,0,B,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,1,2,00:00:41,15,0,1,1,0,1,0,0,0,0,0,0,0,0,1,92.0,0,B,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,1,3,00:01:09,30,0,1,1,0,1,0,0,0,0,0,0,0,0,1,102.0,0,W,CTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,1,4,00:01:29,40,0,1,1,0,1,1,0,1,0,1,0,0,0,1,120.0,0,BW,CTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,2,5,00:02:42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,112.0,0,BW,NCTL,
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,2,6,00:03:10,0,15,0,0,1,0,0,0,0,0,0,0,0,0,3,123.0,0,C,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,2,7,00:03:49,0,30,0,0,1,0,0,0,0,0,0,0,0,0,3,123.0,0,W,CTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,2,8,00:04:13,0,40,0,0,1,0,0,0,1,0,0,0,0,0,3,104.0,0,W,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,3,9,00:04:57,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,100.0,0,BC,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,3,10,00:05:29,15,0,1,1,0,1,0,0,0,0,0,0,0,0,1,114.0,0,C,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,3,11,00:05:59,30,0,1,1,0,1,0,0,0,0,0,0,0,0,3,95.0,0,BC,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,3,12,00:06:30,40,0,1,1,0,1,1,0,1,0,1,0,0,0,7,117.0,1,W,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,4,13,00:08:24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,108.0,0,BW,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,4,14,00:08:53,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,127.0,0,C,NCTL,
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,4,15,00:09:31,30,0,0,0,1,0,0,0,0,0,0,0,0,0,5,128.0,0,BC,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,4,16,00:10:03,30,15,0,0,1,0,0,0,0,0,0,0,0,0,1,122.0,0,W,CTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,4,17,00:10:25,30,30,1,1,0,0,0,0,0,0,0,0,0,0,6,112.0,0,W,CTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,4,18,00:11:15,40,30,0,0,1,0,0,0,0,0,1,1,1,0,11,127.0,0,C,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,4,19,00:12:03,40,40,0,0,1,0,0,0,0,0,0,0,0,0,1,125.0,0,BW,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,4,20,00:12:30,40,AD,1,1,0,0,0,0,0,0,0,0,0,0,4,121.0,0,BC,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,4,21,00:13:31,40,40,0,0,1,0,0,0,0,0,0,0,0,0,1,126.0,0,C,NCTL,
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,4,22,00:13:52,40,AD,0,0,1,0,0,0,1,0,0,0,0,0,5,101.0,0,W,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,5,23,00:14:41,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,97.0,0,W,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,5,24,00:15:00,15,0,1,1,0,1,0,0,0,0,0,0,0,0,1,104.0,0,C,CTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,5,25,00:15:17,30,0,1,1,0,1,0,0,0,0,0,0,0,0,7,130.0,0,BC,CTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,5,26,00:15:47,40,0,1,1,0,1,1,0,1,0,1,0,0,0,3,114.0,1,C,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,6,27,00:17:28,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,120.0,0,W,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,6,28,00:17:45,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,124.0,0,C,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,6,29,00:18:02,15,15,1,1,0,0,0,0,0,0,0,0,0,0,2,127.0,0,C,NCTL,
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,6,30,00:18:43,30,15,1,1,0,0,0,0,0,0,0,0,0,0,4,96.0,0,BC,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,6,31,00:19:45,40,15,0,0,1,0,0,0,0,0,1,1,1,0,5,111.0,0,W,CTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,6,32,00:20:19,40,30,0,0,1,0,0,0,0,0,1,1,1,0,5,89.0,0,W,CTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,6,33,00:21:11,40,40,0,0,1,0,0,0,0,0,0,0,0,0,1,132.0,0,C,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,6,34,00:21:32,40,AD,1,1,0,0,0,0,0,0,0,0,0,0,0,123.0,0,BW,CTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,6,35,00:22:12,40,40,0,0,1,0,0,0,0,0,0,0,0,0,3,118.0,0,W,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,6,36,00:22:40,40,AD,0,0,1,0,0,0,1,0,0,0,0,0,3,121.0,0,C,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,7,37,00:23:16,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,102.0,0,W,CTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,7,38,00:23:37,15,0,0,0,1,1,0,0,0,0,0,0,0,0,4,111.0,0,BW,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,7,39,00:24:01,15,15,1,1,0,1,0,0,0,0,0,0,0,0,1,120.0,0,W,CTL,
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,7,40,00:24:18,30,15,0,0,1,1,0,0,0,0,0,0,0,0,4,121.0,0,B,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,7,41,00:24:42,30,30,1,1,0,1,0,0,0,0,0,0,0,0,1,107.0,1,W,CTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,7,42,00:25:05,40,30,0,0,1,1,0,0,0,0,1,0,0,0,4,79.0,0,B,NCTL,D
